OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	adlnet/jxapi ActivityProfileTest	testGetActivityId	assertNotNull(actual);	assertNotNull(activityProfile);	0
0	// ActivityProfileTest	testGetActivityId	assertNotNull(actual);	assertNotNull(actual);	1
0	// JmxAttributePollerTest	testGetSetScheduler	assertNull(this.poller.getScheduler());	assertNotNull(this.poller.getObjectQueryPreparer());	0
0	trung/InMemoryJavaCompiler InMemoryJavaCompilerTest	compile_WhenIgnoreWarnings	assertEquals(0,res.size());	assertNotNull(res);	0
/	// InMemoryJavaCompilerTest	compile_WhenIgnoreWarnings	assertEquals(0,res.size());	assertNotNull(helloClass);	0
/	// InMemoryJavaCompilerTest	compile_WhenIgnoreWarnings	assertEquals(0,res.size());	"assertNotNull(helloClass.getMethod(""STR""));"	0
0	// DevUtilTest	testGeneratedConfigFiles	assertTrue(util.isGeneratedConfigFile(sourceFile,configDirectory,targetDir));	assertFalse(util.isGeneratedConfigFile(sourceFile,srcDir,targetDir));	0
0	// LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	assertNull(resource);	0
/	// LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	"assertNull(fetchResource(""guru/nidi/loader"",someTimestamp))`;"	0
/	// LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	"assertNotNull(fetchResource(""guru/nidi/loader"",someTimestamp))```;"	0
0	// MorphologyTest	tuStum	assertTrue(stum.isRecognized());	assertNotNull(stum.getBestWordform());	0
0	// SimulatorPropertiesTest	testLoad_justKey	"assertTrue(simulatorProperties.get(""STR"").isEmpty());"	"assertTrue(simulatorProperties.containsKey(""STR""));"	0
/	// SimulatorPropertiesTest	testLoad_justKey	"assertTrue(simulatorProperties.get(""STR"").isEmpty());"	"assertNotNull(simulatorProperties.get(""STR""));"	0
0	fabric8io/fabric8-maven-plugin MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertEquals(expected.entrySet(),origMap.entrySet());	0
0	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertEquals(expected,origMap);	1
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertTrue(expected.entrySet().containsAll(origMap.entrySet()));	0
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertTrue(origMap.keySet().containsAll(expected.keySet()));	0
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertFalse(origMap.keySet().retainAll(expected.keySet()));	0
0	// StringUtilsTest	testNullIsEmpty	assertTrue(StringUtils.isEmpty(null));	assertFalse(StringUtils.isNonZero(null));	0
1	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertFalse(p.isSolved());	0
0	nidi3/graphviz-java RecordsTest	tagRec	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	1
0	// RecordsTest	tagRec	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	"assertTrue(Records.rec(""STR"",""STR"").startsWith(""STR""));"	0
