OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	trung/InMemoryJavaCompiler InMemoryJavaCompilerTest	compile_WhenIgnoreWarnings	assertEquals(0,res.size());	assertNotNull(helloClass);	0
0	adlnet/jxapi ActivityProfileTest	testGetActivityId	assertNotNull(actual);	assertNotNull(activityProfile);	0
0	// LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	assertNull(resource);	0
0	amlinv/stat-collection-utils JmxAttributePollerTest	testGetSetScheduler	assertNull(this.poller.getScheduler());	assertNotNull(this.poller.getObjectQueryPreparer());	0
0	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	"assertEquals(expected.get(""STR""),origMap.get(""STR""));"	0
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	"assertEquals(""STR"",origMap.get(""STR""));"	0
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	"assertEquals(expected.get(""STR""),origMap.get(""STR""));"	0
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	"assertEquals(""STR"",origMap.get(""STR""));"	0
0	// MorphologyTest	tuStum	assertTrue(stum.isRecognized());	assertFalse(stum.wordformsCount()==0);	0
/	// MorphologyTest	tuStum	assertTrue(stum.isRecognized());	assertFalse(!stum.isRecognized());	0
0	// SimulatorPropertiesTest	testLoad_justKey	"assertTrue(simulatorProperties.get(""STR"").isEmpty());"	"assertTrue(this.simulatorProperties.get(""STR"").equals(""STR""));"	0
/	// SimulatorPropertiesTest	testLoad_justKey	"assertTrue(simulatorProperties.get(""STR"").isEmpty());"	"assertNotNull(this.simulatorProperties.get(""STR""));"	0
/	// MacAddressTest	testAddressUnderscoreSeparator	assertEquals(NORMALIZED_ADDRESS,macAddress.toString());	assertNotNull(macAddress.getBytes());	0
0	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java StringUtilsTest	testNullIsEmpty	assertTrue(StringUtils.isEmpty(null));	"assertFalse(StringUtils.isEmpty(""STR""));"	0
/	// StringUtilsTest	testNullIsEmpty	assertTrue(StringUtils.isEmpty(null));	"assertFalse(StringUtils.isEmpty(""STR""));"	0
1	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertFalse(p.isSolved());	0
0	// RecordsTest	tagRec	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	1
/	// CommUtilTest	testHex	"assertEquals(""STR"",CommUtil.hexdump(""STR"".getBytes()));"	"assertEquals(""STR"",""STR"");"	0
0	// OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertTrue(conn.validateSession(tokenBytes,handler,null));	0
1	orientechnologies/orientdb OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertEquals(keysToAdd,addedKeys);	1
1	// OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertTrue(keysToAdd.size()==1&&keysToAdd.containsKey(12)&&keysToAdd.get(12)==1&&keysToAdd.equals(addedKeys));	0
/	// OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertNotNull(keysToAdd.get(12));	0
2	// OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	assertNotNull(result);	0
3	orientechnologies/orientdb RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	"assertNotNull(item.getProperty(""STR""));"	1
4	// OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertTrue(buffer.limit()==(serializationOffset+data.length));	0
/	// OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertEquals(stringSerializer.getObjectSize(OBJECT),buffer.capacity()-serializationOffset);	0
5	// CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	assertNotNull(base1);	0
/	// CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	assertEquals(value,db.load((ORID)value));	0
/	// CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	"assertEquals(""STR"",base1.field(""STR"").getValue());"	0
6	orientechnologies/orientdb SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	1
0	// UuidUtilTest	testNewUnsecureUuidString	assertNotNull(uuid);	assertNotNull(uuid);	1
0	// GoTimeUtilTest	testConversion	"assertEquals(newInteger(23),durationSeconds(""STR""));"	assertNull(durationSeconds(null));	0
0	// H264UtilsTest	testAvcCToAnnexB	assertArrayEquals(newbyte[]{0,0,0,1,0x67,'s','t','a','n',0,0,0,1,0x67,'t','h','e',0,0,0,1,0x68,'m','a','n',0,0,0,1,0x68,'c','o','o','l'},res);	???;	0
0	// MBeanAnnotationUtilTest	testGetAttributes	assertEquals(2,atts.size());	assertFalse(atts.isEmpty());	0
/	// MBeanAnnotationUtilTest	testGetAttributes	assertEquals(2,atts.size());	"assertFalse(atts.containsKey(""STR""));"	0
1	amlinv/stat-collection-utils BatchPollProcessorTest	testGetSetLog	assertNotNull(this.processor.getLog());	assertNotNull(this.processor.getObjectQueryPreparer());	0
1	// BatchPollProcessorTest	testGetSetLog	assertNotNull(this.processor.getLog());	assertNotNull(this.processor.getLog());	1
/	// BatchPollProcessorTest	testGetSetLog	assertNotNull(this.processor.getLog());	assertNotNull(this.processor.getAttributeInjector());	0
0	sofastack/sofa-bolt ReconnectManagerTest	testCancelReConnection	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	1
0	// ReconnectManagerTest	testCancelReConnection	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertTrue(clientDisConnectProcessor.getDisConnectTimes()>=0);	0
