ClassName	TestName	TrueOracle	GenOracle	Correct
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.cons("STR").size()==4);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.indexOf("STR")==1);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.contains("STR"));	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l.reverse().reverse(),l);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.size()==3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertFalse(l.isEmpty());	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l.append(l2),AList.create(Arrays.asList("STR","STR","STR","STR","STR","STR")));	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertFalse(l.remove("STR").contains("STR"));	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l,l2);	1
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l.reverse(),l2);	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotEquals(1,focal.size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertEquals(0,focal.size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertFalse(focal.size()<0);	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotNull(focal.size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotSame(0,focal.size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertSame(focal.size(),focal.size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	???;	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNull(null);	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertTrue(focal.size()>=0);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertEquals("STR",result);	1
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertSame("STR",result);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotNull(result);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotEquals("STR",result);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertFalse(result.isEmpty());	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertTrue(result.contains("STR"));	0
