ClassName	TestName	TrueOracle	GenOracle	Correct
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l,l3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.optHead().equals("STR"));	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.size()==3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotSame(l,l2);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotNull(l2);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertFalse(l.isEmpty());	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l.size(),3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l2.size()<=3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotEquals(l2,l3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertSame(l.size(),l3.size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertEquals(expectedSize,size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertTrue(size()>=0);	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotEquals(0,size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotNull(size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotSame(expectedSize,size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotEquals(expectedSize,size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertTrue(size()>0);	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotSame(0,size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertEquals(0,size());	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertNotEquals(-1,size());	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertEquals("STR",result);	1
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertTrue(result.contains("STR"));	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertTrue(result.length()>0);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotNull(result);	0
