OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotSame(expected,actual);	0
1	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotNull(actual);	1
2	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertThat(actual,is(expected));	0
3	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
4	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNull(actual);	0
5	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertArrayEquals(expectedArray,actualArray);	0
6	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotEquals(expected,actual);	0
7	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertFalse(condition);	0
8	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertSame(expected,actual);	0
9	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(condition);	0
0	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual);	1
1	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame(Verbs.createVerb("STR"),actual);	0
2	VerbsTest	testVoided	assertNotNull(actual);	assertEquals("STR",actual.getName());	0
3	VerbsTest	testVoided	assertNotNull(actual);	assertArrayEquals(newString[]{"STR"},actual.getAliases());	0
4	VerbsTest	testVoided	assertNotNull(actual);	assertNotEquals(Verbs.createVerb("STR"),actual);	0
5	VerbsTest	testVoided	assertNotNull(actual);	assertSame(Verbs.createVerb("STR"),actual);	0
6	VerbsTest	testVoided	assertNotNull(actual);	assertThrows(IllegalArgumentException.class,()->Verbs.createVerb(null));	0
7	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.isNotVoided());	0
8	VerbsTest	testVoided	assertNotNull(actual);	assertNotEquals("STR",actual.getName());	0
9	VerbsTest	testVoided	assertNotNull(actual);	assertTrue(actual.isVoided());	0
0	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotSame(expected,actual);	0
1	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
2	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertArrayEquals(expectedArray,actualArray);	0
3	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotEquals(expected,actual);	0
4	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotNull(object);	0
5	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNull(object);	0
6	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertFalse(condition);	0
7	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertSame(expected,actual);	0
8	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(condition);	0
0	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(internal.getActiveIntent());	0
1	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(getActiveIntent()instanceofOIntent);	0
2	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(db.getActiveIntent());	1
3	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(intent,getActiveIntent());	0
4	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntent.class,getActiveIntent().getClass());	0
5	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()instanceofOIntentMassiveInsert);	0
6	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertSame(getActiveIntent(),internal.getActiveIntent());	0
7	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotEquals(null,db.getActiveIntent());	0
8	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotSame(internal.getActiveIntent(),getActiveIntent());	0
9	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertSame(intent,getActiveIntent());	0
0	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotNull(buffer1);	0
1	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(storedVar,var);	1
2	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(storedVar>var);	0
3	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertFalse(storedVar<var);	0
4	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNull(buffer2.get(9));	0
5	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(buffer1.get(9),buffer.get(0));	0
6	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotSame(buffer,buffer2);	0
7	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertSame(buffer,buffer1);	0
8	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotEquals(buffer1.get(8),buffer.get(1));	0
9	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertArrayEquals(buffer.array(),buffer2.array());	0
0	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertEquals(5,qResult.size());	0
