OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
1	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(expected.equals(actual));	0
2	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotNull(actual);	1
4	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotNull(activityDefinition.getType());	0
5	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(activityDefinition.getType().equals(expected));	0
6	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertFalse(activityDefinition.getType().isEmpty());	0
12	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertSame(expected,actual);	0
15	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
17	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
6	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual);	1
7	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame("STR",actual.getId());	0
8	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.getId().isEmpty());	0
9	VerbsTest	testVoided	assertNotNull(actual);	assertFalse("STR".equals(actual.getId()));	0
13	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame("STR",actual.getId());	0
17	VerbsTest	testVoided	assertNotNull(actual);	assertFalse("STR".equals(actual.getId()));	0
0	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
1	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotNull(actual);	1
3	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual!=null);	0
4	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
5	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
7	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertFalse(actual.isEmpty());	0
8	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
9	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
21	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertSame(expected,actual);	0
22	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
0	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(db.getActiveIntent());	1
2	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotEquals(null,db.getActiveIntent());	0
