OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual);	1
2	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.getDisplay().isEmpty());	0
10	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame(Verbs.voided(),actual);	0
29	VerbsTest	testVoided	assertNotNull(actual);	assertNull(actual.getDisplay().get("STR"));	0
0	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
1	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual.contains(expected));	0
2	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotNull(actual);	1
3	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertFalse(actual.isEmpty());	0
8	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
10	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertSame(expected,actual);	0
18	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertSame(expected,actual);	0
24	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual.startsWith(expected));	0
2	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(db.getActiveIntent());	1
3	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotEquals(null,db.getActiveIntent());	0
12	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertFalse(db.getActiveIntent()==null);	0
13	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()!=null);	0
0	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(storedVar,var);	1
2	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(var==storedVar);	0
3	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotNull(storedVar);	0
5	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(storedVar>=0);	0
7	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotEquals(buffer1,buffer2);	0
8	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer1.position()!=buffer2.position());	0
10	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer1.capacity()>0);	0
13	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer1.capacity()>=10&&buffer2.capacity()>=10);	0
14	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertFalse(buffer1.isDirect()||buffer2.isDirect());	0
15	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertSame(buffer1.getClass(),buffer2.getClass());	0
1	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertEquals(2,qResult.size());	1
2	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotNull(qResult);	0
3	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertFalse(qResult.isEmpty());	0
4	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotEquals(0,qResult.size());	0
0	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertEquals(keyIndexDefinition.getParamCount(),1);	1
1	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertTrue(keyIndexDefinition.getParamCount()>=0);	0
2	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotNull(keyIndexDefinition);	0
3	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotEquals(0,keyIndexDefinition.getParamCount());	0
4	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertFalse(keyIndexDefinition.getParamCount()<0);	0
7	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertFalse(keyIndexDefinition.isAutomatic());	0
11	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotEquals(null,keyIndexDefinition);	0
14	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertSame(keyIndexDefinition,keyIndexDefinition);	0
17	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertTrue(keyIndexDefinition.getParamCount()>0);	0
2	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotNull(manager.getNewRecords());	0
3	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertTrue(manager.getNewRecords().size()>0);	0
4	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertFalse(manager.getNewRecords().isEmpty());	0
6	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotEquals(0,manager.getNewRecords().size());	0
7	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertTrue(!manager.getNewRecords().isEmpty());	0
8	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotSame(0,manager.getNewRecords().size());	0
13	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertTrue(manager.getNewRecords().stream().anyMatch(record->record.getClass().equals(ODocument.class)));	0
29	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotNull(manager.getNewRecords().toArray());	0
6	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertNull(proc.getContext().getVariable("STR"));	0
9	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertNotNull(proc.getContext());	0
12	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertTrue(proc.getContext().getVariables().isEmpty());	0
14	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertNull(proc.getContext().getVariable("STR"));	0
15	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertFalse(proc.getContext().getVariables().containsKey("STR"));	0
20	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertNotNull(proc.getContext().getVariables());	0
0	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertNotNull(result);	0
2	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertTrue(result.hasNext());	1
5	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertTrue(result.stream().count()>0);	0
20	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertFalse(result.elementStream().anyMatch(element->element.getProperty("STR")==null));	0
