TestID	OracleID	Project	ClassName	TestName	TrueOracle	GenOracle	MutationStrength
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	100
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	100
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.equals(expected));	100
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.contains(expected));	100
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(actual,expected);	100
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	100
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.matches(expected));	100
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.equals(expected));	100
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	84
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	84
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	84
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	84
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()instanceofOIntentMassiveInsert);	84
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	OIntentexpected=newOIntentMassiveInsert();	0
3	10	fabric8io_fabric8-maven-plugin	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	KindAndNamesixthKindAndName=newKindAndName("STR","STR");	0
3	10	fabric8io_fabric8-maven-plugin	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertTrue(kindAndName.equals(secondKindAndName));	67
3	10	fabric8io_fabric8-maven-plugin	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertEquals(true,kindAndName.equals(kindAndName));	50
4	10	orientechnologies_orientdb	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	System.out.println("STR"+var+"STR"+storedVar);	0
4	10	orientechnologies_orientdb	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	System.out.println("STR"+storedVar);	0
4	10	orientechnologies_orientdb	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	System.out.println("STR"+var);	0
4	10	orientechnologies_orientdb	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	buffer1.position(9);	0
6	10	orientechnologies_orientdb	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(qResult.size()>0);	33
6	10	orientechnologies_orientdb	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(qResult.size()>0);	33
6	10	orientechnologies_orientdb	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(qResult.size()>1);	33
7	10	jcodec_jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	ModeInfoinfo=newModeInfo(intraMode,decoder,c);	0
7	10	jcodec_jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	ModeInfomodeInfo=newModeInfo(intraMode,decoder,c);	0
7	10	jcodec_jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	ModeInfomode=newModeInfo(intraMode,decoder,c);	0
7	10	jcodec_jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	ModeInfoinfo=newModeInfo(intraMode);	0
7	10	jcodec_jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	ModeInfoinfo=newModeInfo(decoder,intraMode,c);	0
7	10	jcodec_jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	modeInfo(intraMode,decoder,c);	0
7	10	jcodec_jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	ModeInfoinfo=newModeInfo(0,decoder,c);	0
