TestID	OracleID	Project	ClassName	TestName	TrueOracle	GenOracle	Correct
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertThat(actual,is(expected));	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertThat(actual,equalTo(expected));	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.equals(expected));	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.contains(expected));	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(actual,expected);	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.matches(expected));	0
0	10	adlnet_jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.equals(expected));	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(newOIntentMassiveInsert(),db.getActiveIntent());	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()instanceofOIntentMassiveInsert);	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntent.MATRIX,db.getActiveIntent());	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass()){returnOIntentMassiveInsert.class;}};);	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals("STR",db.getActiveIntent().toString());	0
1	10	orientechnologies_orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	OIntentexpected=newOIntentMassiveInsert();(O,I,n,t,e,n,t,e,x,p,e,c,t,e,d,=,n,e,w,O,I,n,t,e,n,t,M,a,s,s,i,v,e,I,n,s,e,r,t,(,),;);	0
2	10	jcodec_jcodec	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(11,test.get(24));	0
2	10	jcodec_jcodec	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(11,test.get(24));	0
2	10	jcodec_jcodec	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(Integer.valueOf(11),test.get(24));	1
2	10	jcodec_jcodec	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNull(test.get(24));	0
2	10	jcodec_jcodec	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertThat(test.get(24),is(11));	0
2	10	jcodec_jcodec	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(11,test.get(24));	0
