OracleID	ClassName	TestName	TrueOracle	GenOracle	MutationStrength
1	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	100
2	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.contains(expected));	100
5	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertFalse(actual.isEmpty());	100
7	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.startsWith(expected));	100
8	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected.length(),actual.length());	100
10	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertSame(expected,actual);	100
8	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame(Verbs.voided(),actual);	33
12	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.getDisplay().isEmpty());	75
18	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.getId().isEmpty());	75
24	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual.getDisplay());	75
1	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	44
2	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual.contains(expected));	44
5	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertFalse(actual.isEmpty());	44
7	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual!=null);	33
8	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected.length(),actual.length());	44
24	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual.startsWith(expected));	44
4	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotEquals(null,db.getActiveIntent());	100
6	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotSame(null,db.getActiveIntent());	100
11	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent().getClass().equals(OIntentMassiveInsert.class));	100
3	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotSame(buffer1,buffer2);	99
4	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer1.position()!=buffer2.position());	99
7	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotNull(buffer2);	99
8	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertFalse(buffer1.hasRemaining());	99
12	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer1.limit()>=buffer1.position());	99
13	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertFalse(buffer2.isDirect());	99
15	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotNull(buffer1);	99
0	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotNull(qResult);	33
1	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertFalse(qResult.isEmpty());	33
3	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(qResult.size()>0);	33
1	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertTrue(keyIndexDefinition.getParamCount()==1);	92
2	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotEquals(0,keyIndexDefinition.getParamCount());	92
3	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotNull(keyIndexDefinition);	92
