ClassName	TestName	TrueOracle	GenOracle	Correct
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l,l2);	1
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.equals(l3));	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l2.asJavaUtilList().containsAll(Arrays.asList("STR","STR","STR")));	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertEquals(l.size(),3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotSame(l,l3);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertTrue(l.size()>0);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotNull(l2);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotEquals(l.size(),0);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotEquals(l2.size(),0);	0
AListTest	testFromJavaUtil	assertEquals(l,l2);	assertNotEquals(l2.size(),5);	0
AListTest	testNil	assertEquals(0,AList.nil().size());	assertTrue(size()>=0);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotEquals("STR",result);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotNull(result);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertEquals("STR",result);	1
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertTrue(result.length()>0);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotSame("STR",result);	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotEquals(0,result.length());	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertFalse(result.isEmpty());	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotSame(0,result.indexOf("STR"));	0
AJsonSerHelperTest	testDoubleWithFrac1	assertEquals("STR",result);	assertNotSame(-1,result.indexOf("STR"));	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertEquals(1,graph.edges().size());	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertTrue(graph.nodes().contains("STR"));	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertTrue(graph.edges().stream().anyMatch(edge->edge.getFrom().equals("STR")&&edge.getTo().equals("STR")));	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertFalse(graph.nodes().isEmpty());	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertEquals(3,graph.nodes().size());	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertTrue(graph.edges().stream().allMatch(edge->edge.getFrom().equals("STR")||edge.getTo().equals("STR")));	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertTrue(graph.nodes().containsAll(Arrays.asList("STR","STR","STR")));	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertFalse(graph.hasCycles());	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertNotNull(graph);	0
ADiGraphTest	testNodesWithoutEdges	assertTrue(eqSet(graph.edges(),edge("STR","STR")));	assertEquals(1,graph.edges().size());	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertNotNull(qResult);	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertTrue(qResult.size()>0);	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertEquals(1,qResult.size());	1
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertNotEquals(0,qResult.size());	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertFalse(qResult.isEmpty());	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertNotSame(0,qResult.size());	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertNotEquals(-1,qResult.size());	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertTrue(qResult.size()>=0);	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertNotNull(qResult.stream().findFirst().orElse(null));	0
OMatchStatementExecutionTest	testFriendsWithName	assertEquals(1,qResult.size());	assertNotEquals(null,qResult.get(0));	0
OPropertyMapIndexDefinitionTest	testCreateValueWrongParameter	assertNull(result);	assertNull(result);	1
MatcherTest	findPrefix	assertTrue(matcher.find());	assertTrue(matcher.find());	1
MatcherTest	findPrefix	assertTrue(matcher.find());	assertTrue(matcher.find());	1
MatcherTest	findPrefix	assertTrue(matcher.find());	assertEquals(1,matcher.find()?1:0);	0
MatcherTest	findPrefix	assertTrue(matcher.find());	assertNotNull(matcher.find());	0
MatcherTest	findPrefix	assertTrue(matcher.find());	assertNotEquals(-1,matcher.find());	0
MatcherTest	findPrefix	assertTrue(matcher.find());	assertFalse(!matcher.find());	0
MatcherTest	findPrefix	assertTrue(matcher.find());	assertTrue(matcher.find()==true);	0
MatcherTest	findPrefix	assertTrue(matcher.find());	assertNotEquals(-1,matcher.find()?0:1);	0
MatcherTest	findPrefix	assertTrue(matcher.find());	assertNotEquals(-1,matcher.find()?0:2);	0
