OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	adlnet/jxapi ActivityProfileTest	testGetActivityId	assertNotNull(actual);	assertNotNull(activityProfile);	0
0	trung/InMemoryJavaCompiler InMemoryJavaCompilerTest	compile_WhenIgnoreWarnings	assertEquals(0,res.size());	assertNotNull(helloClass);	0
/	// InMemoryJavaCompilerTest	compile_WhenIgnoreWarnings	assertEquals(0,res.size());	assertNotNull(res);	0
0	amlinv/stat-collection-utils JmxAttributePollerTest	testGetSetScheduler	assertNull(this.poller.getScheduler());	assertNotNull(this.poller.getObjectQueryPreparer());	0
0	// LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	assertEquals(null,resource);	0
/	// LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	assertTrue(resource==null);	0
/	// LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	"assertTrue(Thread.currentThread().getContextClassLoader().getResource(""STR"")!=null);"	0
0	// MacAddressTest	testAddressUnderscoreSeparator	assertEquals(NORMALIZED_ADDRESS,macAddress.toString());	assertFalse(macAddress.isLocal());	0
1	// MacAddressTest	testAddressCompareToEqual	assertEquals(0,comparison);	assertNotNull(macAddress);	0
0	// MorphologyTest	tuStum	assertTrue(stum.isRecognized());	assertFalse(stum.getBestWordform()==null);	0
0	// SimulatorPropertiesTest	testLoad_justKey	"assertTrue(simulatorProperties.get(""STR"").isEmpty());"	"assertNotNull(simulatorProperties.get(""STR""));"	0
0	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertTrue(origMap.keySet().containsAll(expected.keySet()));	0
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	"assertFalse(origMap.containsKey(""STR""));"	0
/	// MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	"assertFalse(origMap.containsValue(""STR""));"	0
0	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java StringUtilsTest	testNullIsEmpty	assertTrue(StringUtils.isEmpty(null));	assertFalse(StringUtils.isNonZero(null));	0
1	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertFalse(p.isSolved());	0
0	// RecordsTest	tagRec	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	1
0	// RecordsTest	tagRec	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	"assertTrue(Records.rec(""STR"",""STR"").contains(""STR""));"	0
/	// RecordsTest	tagRec	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	"assertFalse(Records.rec(""STR"",""STR"").contains(""STR""));"	0
/	// RecordsTest	tagRec	"assertEquals(""STR"",Records.rec(""STR"",""STR""));"	"assertNotNull(Records.rec(""STR"",""STR""));"	0
1	// EnvironmentTest	testSetupWithIncompleteJob	"assertEquals(""STR"",mojo.serviceName);"	assertNotNull(mojo.getLog());	0
/	// EnvironmentTest	testSetupWithIncompleteJob	"assertEquals(""STR"",mojo.serviceName);"	assertNotNull(Arrays.asList(serviceMock));	0
0	// ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertTrue(connection.isFine());	0
0	// ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	1
/	// ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertNotNull(connection);	0
/	// ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertEquals(true,connection.isFine());	0
/	// ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertTrue(connection!=null);	0
0	// OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertEquals(true,conn.getTokenBased());	0
/	// OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertEquals(tokenBased,true);	0
/	// OClientConnectionTest	testValidToken	assertTrue(conn.getTokenBased());	assertTrue(conn.getToken()!=null);	0
1	orientechnologies/orientdb OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertEquals(keysToAdd,addedKeys);	1
1	// OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertEquals(removedKeys,keysToRemove);	0
/	// OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	"assertEquals(expectedValues,newHashMap<Object,Object>()->{
});"	0
/	// OPropertyMapIndexDefinitionTest	testProcessChangeEventAddKeyWithConversion	assertEquals(keysToAdd,addedKeys);	assertEquals(keysToRemove,removedKeys);	0
2	// OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	assertTrue(OType.STRING==result[0]);	0
/	// OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	assertNotNull(result);	0
3	// RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	"assertNotNull(item.getProperty(""STR""));"	1
3	// RemoteQuerySupportTest	testQueryEmbedded	"assertNotNull(item.getProperty(""STR""));"	assertNotNull(item);	0
4	// OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertEquals(stringSerializer.getObjectSize(OBJECT)+serializationOffset,walChanges.toStream(serializationOffset,newbyte[stringSerializer.getObjectSize(OBJECT)+serializationOffset]));	0
/	// OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertTrue(walChanges.serializedSize()==stringSerializer.getObjectSize(OBJECT)+serializationOffset);	0
/	// OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertArrayEquals(data,walChanges.getBinaryValue(buffer,serializationOffset,data.length));	0
/	// OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertEquals(serializedSize,walChanges.serializedSize());	0
5	// CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	assertNotNull(nest1);	1
5	// CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	"assertEquals(2,((ORecordLazySet)nest1.field(""STR"")).size());"	0
/	// CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	assertEquals(set.size(),2);	0
/	// CollectionOfLinkInNestedDocumentTest	nestedLinkSet	assertNotNull(nest1);	"assertNotNull(nest1.field(""STR""));"	0
/	// SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertSame(customer.getDefaultClusterId(),doc.getIdentity().getClusterId());	0
/	// SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertTrue(doc.getIdentity().getClusterId()==customer.getDefaultClusterId());	0
/	// SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertFalse(doc.getIdentity().getClusterId()!=customer.getDefaultClusterId());	0
/	// SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertNotNull(doc.getIdentity());	0
0	// UuidUtilTest	testNewUnsecureUuidString	assertNotNull(uuid);	"assertTrue(uuid!=null&&uuid.length()>0&&uuid.length()==36&&uuid.matches(""STR""));"	0
0	// UuidUtilTest	testNewUnsecureUuidString	assertNotNull(uuid);	assertNotNull(uuid);	1
0	// MBeanAnnotationUtilTest	testGetAttributes	assertEquals(2,atts.size());	assertNotNull(atts);	0
/	// MBeanAnnotationUtilTest	testGetAttributes	assertEquals(2,atts.size());	"assertNotNull(atts)`:

1.`assertEquals(atts.size(),3);"	0
1	amlinv/stat-collection-utils BatchPollProcessorTest	testGetSetLog	assertNotNull(this.processor.getLog());	assertNotNull(this.processor.getLog());	1
0	adlnet/jxapi SubStatementTest	testSetAttachments	assertNotNull(actual);	assertEquals(expected,actual);	0
/	// SubStatementTest	testSetAttachments	assertNotNull(actual);	assertTrue(actual.equals(expected));	0
/	// SubStatementTest	testSetAttachments	assertNotNull(actual);	assertEquals(expected,substatement.getAttachments());	0
1	adlnet/jxapi VerbsTest	testTerminated	assertNotNull(actual);	assertNotNull(actual);	1
1	// VerbsTest	testTerminated	assertNotNull(actual);	assertNotNull(Verbs.terminated());	0
2	adlnet/jxapi ResultTest	testSetResponse	assertNotNull(actual);	assertEquals(expected,actual);	0
/	// ResultTest	testSetResponse	assertNotNull(actual);	assertTrue(result.getResponse().contains(expected));	0
