OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
2	orientechnologies/orientdb OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	assertFalse(result[0].equals(OType.STRING));	0
2	/ OPropertyMapIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	assertEquals(result[0],OType.INT);	0
4	orientechnologies/orientdb OUTFSerializerTest	testSerializeWALChanges	assertEquals(stringSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),stringSerializer.getObjectSize(OBJECT));	assertEquals(data,buffer.array());	0
6	orientechnologies/orientdb SQLMoveVertexCommandTest	testMoveSingleRecordToAnotherClass	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	assertEquals(doc.getIdentity().getClusterId(),customer.getDefaultClusterId());	1
8	trautonen/coveralls-maven-plugin EnvironmentTest	testSetupWithIncompleteJob	"assertEquals(""STR"",mojo.serviceName);"	???;	0
10	amlinv/stat-collection-utils JmxAttributePollerTest	testGetSetScheduler	assertNull(this.poller.getScheduler());	assertNull(this.poller.getScheduler());	1
12	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertTrue(p.getDistanceToGoal()>0);	0
12	/ PuzzleTest	sum_of_cell_distances_is_distance_to_goal	assertEquals(4,p.getDistanceToGoal());	assertEquals(expectedDistance,p.getDistanceToGoal());	0
13	TooTallNate/Java-WebSocket CharsetfunctionsTest	testIsValidUTF8off	assertFalse(Charsetfunctions.isValidUTF8(ByteBuffer.wrap(newbyte[]{100}),2));	"assertTrue(TestClassName.isValidUTF8(ByteBuffer.wrap(""STR"".getBytes()),0));"	0
15	sofastack/sofa-bolt ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertEquals(true,true);	0
15	/ ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertFalse(100<25);	0
15	/ ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertNotNull(null);	0
15	/ ReconnectManagerTest	testReconnectionByUserSetting	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	assertTrue(100>25);	0
16	nidi3/raml-loader LoaderTest	fileNok	"assertEquals(""STR"",resource.getProtocol());"	assertNull(resource);	0
17	OpenLiberty/ci.common DevUtilTest	testGeneratedConfigFiles	"assertTrue(""STR"",util.isGeneratedConfigFile(sourceFile,configDirectory,targetDir));"	assertFalse(fileChanged.exists());	0
17	/ DevUtilTest	testGeneratedConfigFiles	"assertTrue(""STR"",util.isGeneratedConfigFile(sourceFile,configDirectory,targetDir));"	assertArrayEquals(sourceFile.listFiles(),targetFile.listFiles());	0
17	/ DevUtilTest	testGeneratedConfigFiles	"assertTrue(""STR"",util.isGeneratedConfigFile(sourceFile,configDirectory,targetDir));"	assertEquals(srcDir,targetDir);	0
17	/ DevUtilTest	testGeneratedConfigFiles	"assertTrue(""STR"",util.isGeneratedConfigFile(sourceFile,configDirectory,targetDir));"	assertTrue(targetDir.isAbsolute());	0
17	/ DevUtilTest	testGeneratedConfigFiles	"assertTrue(""STR"",util.isGeneratedConfigFile(sourceFile,configDirectory,targetDir));"	assertNotNull(targetFile.getAbsoluteFile());	0
18	fluenda/ParCEFone MacAddressTest	testAddressUnderscoreSeparator	assertEquals(NORMALIZED_ADDRESS,macAddress.toString());	assertFalse(1!=1);	0
18	/ MacAddressTest	testAddressUnderscoreSeparator	assertEquals(NORMALIZED_ADDRESS,macAddress.toString());	assertTrue(1==1);	0
18	/ MacAddressTest	testAddressUnderscoreSeparator	assertEquals(NORMALIZED_ADDRESS,macAddress.toString());	"assertEquals(""STR"",""STR"");"	0
18	/ MacAddressTest	testAddressUnderscoreSeparator	assertEquals(NORMALIZED_ADDRESS,macAddress.toString());	"assertNotEquals(""STR"",""STR"");"	0
19	fluenda/ParCEFone MacAddressTest	testAddressCompareToEqual	assertEquals(0,comparison);	assertNotEquals(unexpected,actual);	0
19	/ MacAddressTest	testAddressCompareToEqual	assertEquals(0,comparison);	assertEquals(expected,actual);	0
20	adlnet/jxapi ActivityProfileTest	testGetActivityId	assertNotNull(actual);	"assertEquals(""STR"",activityProfile.getActivityId());"	0
20	/ ActivityProfileTest	testGetActivityId	assertNotNull(actual);	assertNotNull(activityProfile);	0
20	/ ActivityProfileTest	testGetActivityId	assertNotNull(actual);	assertNull(activityProfile.getActivityId());	0
22	PeterisP/morphology MorphologyTest	tuStum	assertTrue(stum.isRecognized());	assertEquals(locītājs.getAnalyses().size(),1);	0
22	/ MorphologyTest	tuStum	assertTrue(stum.isRecognized());	assertEquals(locītājs.isRecognized(),true);	0
23	fabric8io/fabric8-maven-plugin MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertSame(expected,origMap);	0
23	/ MapUtilTest	testMergeIfAbsent	assertEquals(expected,origMap);	assertEquals(expected,origMap);	1
0	sofastack/sofa-bolt ReconnectManagerTest	testCancelReConnection	assertEquals(0,clientDisConnectProcessor.getDisConnectTimes());	"assertEquals(client.getConnectedAddress(),addressParser.parse(""STR""));"	0
1	sofastack/sofa-bolt ThreadLocalArriveTimeHolderTest	testMultiThread	assertTrue(time>=start);	assertFalse(time<0);	0
1	/ ThreadLocalArriveTimeHolderTest	testMultiThread	assertTrue(time>=start);	assertNull(map.get(key));	0
1	/ ThreadLocalArriveTimeHolderTest	testMultiThread	assertTrue(time>=start);	assertEquals(end-start,time);	0
1	/ ThreadLocalArriveTimeHolderTest	testMultiThread	assertTrue(time>=start);	assertTrue(time>100000000);	0
2	adlnet/jxapi SubStatementTest	testSetAttachments	assertNotNull(actual);	assertEquals(expected,substatement.getAttachments());	0
5	orientechnologies/orientdb DefaultValueTest	testDefaultValueFromJson	"assertNotNull(saved.field(""STR""));"	"assertTrue(database.contains(""STR""));"	0
5	/ DefaultValueTest	testDefaultValueFromJson	"assertNotNull(saved.field(""STR""));"	"assertEquals(classA.getName(),""STR"");"	0
5	/ DefaultValueTest	testDefaultValueFromJson	"assertNotNull(saved.field(""STR""));"	"assertFalse(schema.contains(""STR""));"	0
6	orientechnologies/orientdb SimpleParentChildTest	testWithSets	"assertEquals(""STR"",retrievedParent.getFriends().iterator().next().getName());"	assertEquals(child.getName(),retrievedChild.getName());	0
6	/ SimpleParentChildTest	testWithSets	"assertEquals(""STR"",retrievedParent.getFriends().iterator().next().getName());"	assertTrue(retrievedChild.getMyFriends().contains(parent));	0
7	orientechnologies/orientdb OScriptExecutionTest	testLazyExecutionPlanning	"assertEquals(""STR"",item.getProperty(""STR""));"	assertSame(expected,actual);	0
7	/ OScriptExecutionTest	testLazyExecutionPlanning	"assertEquals(""STR"",item.getProperty(""STR""));"	assertEquals(expected,actual);	0
7	/ OScriptExecutionTest	testLazyExecutionPlanning	"assertEquals(""STR"",item.getProperty(""STR""));"	assertNotEquals(expected,actual);	0
7	/ OScriptExecutionTest	testLazyExecutionPlanning	"assertEquals(""STR"",item.getProperty(""STR""));"	"assertTrue(item.toJava(""STR""));"	0
7	/ OScriptExecutionTest	testLazyExecutionPlanning	"assertEquals(""STR"",item.getProperty(""STR""));"	"assertFalse(item.toJava(""STR""));"	0
8	orientechnologies/orientdb OAlterPropertyStatementExecutionTest	testSetCustom	assertNotNull(result);	assertNotNull(result);	1
8	/ OAlterPropertyStatementExecutionTest	testSetCustom	assertNotNull(result);	"assertEquals(clazz.getName(),""STR"",""STR"");"	0
8	/ OAlterPropertyStatementExecutionTest	testSetCustom	assertNotNull(result);	"assertEquals(foo,""STR"",""STR"");"	0
11	nidi3/graphviz-java OptionsTest	toJsonMinimal	"assertEquals(""STR""+uriPathOf(newFile(""STR""))+""STR"",s);"	assertNotNull(s);	0
12	nidi3/graphviz-java SvgSizeAnalyzerTest	svgWithChanges	"assertEquals(""STR""+""STR""+""STR"",a.getSvg());"	assertEquals(a.getHeight(),2);	0
12	/ SvgSizeAnalyzerTest	svgWithChanges	"assertEquals(""STR""+""STR""+""STR"",a.getSvg());"	assertEquals(a.getScale(),Point2D.Double(3.5,4.0));	0
12	/ SvgSizeAnalyzerTest	svgWithChanges	"assertEquals(""STR""+""STR""+""STR"",a.getSvg());"	assertEquals(a.getWidth(),1);	0
12	/ SvgSizeAnalyzerTest	svgWithChanges	"assertEquals(""STR""+""STR""+""STR"",a.getSvg());"	assertTrue(a.isUpdatedWithSize());	0
13	nidi3/graphviz-java RankTest	combine	"assertEquals(attrs(attr(""STR"",true),attr(""STR"",""STR""),attr(""STR"",""STR""),attr(""STR"",""STR"")),attrs(Rank.sepEqually(2).newRank(true).noCluster().dir(TOP_TO_BOTTOM).sep(3)));"	assertSame(expected,actual);	0
13	/ RankTest	combine	"assertEquals(attrs(attr(""STR"",true),attr(""STR"",""STR""),attr(""STR"",""STR""),attr(""STR"",""STR"")),attrs(Rank.sepEqually(2).newRank(true).noCluster().dir(TOP_TO_BOTTOM).sep(3)));"	assertFalse(condition);	0
13	/ RankTest	combine	"assertEquals(attrs(attr(""STR"",true),attr(""STR"",""STR""),attr(""STR"",""STR""),attr(""STR"",""STR"")),attrs(Rank.sepEqually(2).newRank(true).noCluster().dir(TOP_TO_BOTTOM).sep(3)));"	assertArrayEquals(expecteds,actuals);	0
