OracleID	ClassName	TestName	TrueOracle	GenOracle	Correct
0	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	0
1	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.contains(expected));	0
2	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotNull(actual);	1
4	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertSame(expected,actual);	0
9	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotNull(actual);	1
18	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected.length(),actual.length());	0
19	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.startsWith(expected));	0
0	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual);	1
7	VerbsTest	testVoided	assertNotNull(actual);	assertTrue(actual.serialize().isJsonObject());	0
8	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.getDisplay().isEmpty());	0
16	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.serialize().isJsonNull());	0
0	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	0
1	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual.contains(expected));	0
2	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotNull(actual);	1
3	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertFalse(actual.isEmpty());	0
5	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotSame(expected,actual,"STR");	0
9	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertSame(expected,actual);	0
18	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(!actual.isEmpty());	0
2	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	0
3	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(db.getActiveIntent());	1
4	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotEquals(null,db.getActiveIntent());	0
5	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertSame(OIntentMassiveInsert.class,db.getActiveIntent().getClass());	0
6	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotSame(null,db.getActiveIntent());	0
21	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()!=null&&db.getActiveIntent().getClass().equals(OIntentMassiveInsert.class));	0
26	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()!=null);	0
0	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(storedVar,var);	1
4	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertFalse(buffer1.equals(buffer2));	0
6	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(10,buffer1.capacity());	0
7	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotNull(buffer2);	0
8	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertFalse(buffer1.hasRemaining());	0
9	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer2.hasRemaining());	0
10	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotSame(buffer1,buffer2);	0
12	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer1.limit()==10);	0
0	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertEquals(2,qResult.size());	1
2	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotNull(qResult);	0
4	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotEquals(0,qResult.size());	0
7	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertFalse(qResult.isEmpty());	0
8	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(qResult.size()>0);	0
9	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotSame(0,qResult.size());	0
16	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(!qResult.isEmpty());	0
21	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertFalse(qResult.contains(null));	0
0	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertEquals(keyIndexDefinition.getParamCount(),1);	1
1	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertTrue(keyIndexDefinition.getParamCount()>0);	0
2	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotNull(keyIndexDefinition);	0
3	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotEquals(0,keyIndexDefinition.getParamCount());	0
9	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotSame(simpleKeyIndexDefinition,keyIndexDefinition);	0
10	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotEquals(simpleKeyIndexDefinition,keyIndexDefinition);	0
13	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertSame(OSimpleKeyIndexDefinition.class,keyIndexDefinition.getClass());	0
0	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertEquals(2,manager.getNewRecords().size());	1
2	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotNull(manager.getNewRecords());	0
4	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertFalse(manager.getNewRecords().contains(null));	0
9	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertTrue(manager.getNewRecords().containsAll(Collections.emptyList()));	0
12	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotSame(0,manager.getNewRecords().size());	0
13	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertTrue(manager.getNewRecords().isEmpty()||manager.getNewRecords().size()>0);	0
14	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotEquals(0,manager.getNewRecords().size());	0
17	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertTrue(manager.getNewRecords().size()>=0);	0
0	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertTrue(result.hasNext());	1
0	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertFalse(doc.isDirty());	1
1	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertNotNull(doc);	0
3	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertTrue(docinstanceofODocument);	0
0	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertTrue(qResult.hasNext());	1
2	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertNotNull(qResult);	0
13	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertNotNull(qResult.next());	0
18	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertTrue(qResult.stream().count()>0);	0
0	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(11,(int)test.get(24));	0
1	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertTrue(test.get(24)!=null);	0
2	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNull(test.get(42));	0
3	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNotEquals(0,test.size());	0
5	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertTrue(test.size()>0);	0
6	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNotNull(test);	0
11	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(1,test.size());	0
17	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertSame(11,test.get(24));	0
20	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNotNull(test.keys());	0
9	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertFalse(decoder.isFullyRead());	0
15	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotSame(c,null);	0
0	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertEquals(kindAndName,secondKindAndName);	0
1	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertTrue(kindAndName.equals(secondKindAndName));	0
2	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertNotEquals(kindAndName,thirdKindAndName);	0
3	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertFalse(kindAndName.equals(fourthKindAndName));	0
4	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertNotSame(kindAndName,fifthKindAndName);	0
5	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertTrue(kindAndName.equals(kindAndName));	1
6	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertEquals(kindAndName,secondKindAndName);	0
7	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertNotEquals(thirdKindAndName,fourthKindAndName);	0
9	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertFalse(fifthKindAndName.toString().isEmpty());	0
4	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertFalse(filtered.isEmpty());	0
7	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertTrue(!filtered.isEmpty());	0
8	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertTrue(filtered.size()<=getAllTestData().size());	0
9	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertNotEquals(0,filtered.size());	0
10	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertTrue(filtered.size()>0);	0
13	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertNotSame(getAllTestData(),filtered);	0
18	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertEquals(ArrayList.class,filtered.getClass());	0
25	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertTrue(filtered.size()>=0);	0
3	ProfileUtilTest	multiple	assertNotNull(is);	assertNotNull(is);	1
8	ProfileUtilTest	multiple	assertNotNull(is);	assertTrue(is.markSupported());	0
11	ProfileUtilTest	multiple	assertNotNull(is);	assertEquals(795,is.available());	0
13	ProfileUtilTest	multiple	assertNotNull(is);	assertNotEquals(-1,is.read());	0
14	ProfileUtilTest	multiple	assertNotNull(is);	assertNotEquals(InputStream.class,is.getClass());	0
18	ProfileUtilTest	multiple	assertNotNull(is);	assertFalse(is==null);	0
19	ProfileUtilTest	multiple	assertNotNull(is);	assertNotSame(System.in,is);	0
21	ProfileUtilTest	multiple	assertNotNull(is);	assertNotEquals(0,is.available());	0
23	ProfileUtilTest	multiple	assertNotNull(is);	assertEquals(795,is.available());	0
28	ProfileUtilTest	multiple	assertNotNull(is);	assertTrue(InputStream.class.isInstance(is));	0
2	InitContainerHandlerTest	removeOne	assertTrue(handler.hasInitContainer(builder,"STR"));	assertTrue(handler.hasInitContainer(builder,"STR"));	1
6	InitContainerHandlerTest	removeOne	assertTrue(handler.hasInitContainer(builder,"STR"));	assertFalse(handler.hasInitContainer(builder,"STR"));	0
