TestID	OracleID	Username/Reponame	ClassName	TestName	TrueOracle	GenOracle	Correct	Sorted	Time
1	0	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertEquals(expected,actual);	0	1	47.79
1	1	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertSame(expected,actual);	0	1	47.79
1	2	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertArrayEquals(expected.toArray(),actual.toArray());	0	1	47.79
1	3	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertTrue(expected.equals(actual));	0	1	47.79
1	4	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertNotNull(actual);	1	1	47.79
1	5	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertIterableEquals(expected,actual);	0	1	47.79
1	6	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertLinesMatch(expected.stream().map(Activity::toString).collect(Collectors.toList()),actual.stream().map(Activity::toString).collect(Collectors.toList()));	0	1	47.79
1	7	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertNotSame(expected,actual);	0	1	47.79
1	8	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertNotEquals(expected,actual);	0	1	47.79
1	9	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertEquals(expected.toString(),actual.toString());	0	1	47.79
2	0	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual);	assertEquals(expected,actual);	0	1	39.51
2	1	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertTrue(expected==actual);	0	1	39.51
2	2	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertEquals(score.getRaw(),actual);	0	1	39.51
2	3	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertTrue(score.getRaw()==actual);	0	1	39.51
2	4	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertFalse(expected==actual);	0	1	39.51
2	5	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertNotEquals(expected,actual);	0	1	39.51
2	6	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertNotEquals(score.getRaw(),actual);	0	1	39.51
2	7	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertFalse(score.getRaw()==actual);	0	1	39.51
