TestID	OracleID	Project	ClassName	TestName	TrueOracle	GenOracle	Time	Correct
1	0	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertEquals(expected, actual);	17.69685411	0
	1	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertTrue(expected.containsAll(actual) && actual.containsAll(expected));	34.71610403	0
	4	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertSame(expected, actual);	22.76219106	0
	9	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertTrue(expected.equals(actual));	16.04797196	0
	10	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertFalse(expected.size() == actual.size() && expected.hashCode() == actual.hashCode());	26.03141904	0
	13	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertEquals(expected, actual);	28.15592694	0
	14	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertSame(expected, actual);	41.82190681	0
	16	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertEquals(actual.toString(), expected.toString());	27.04575491	0
	18	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertNotNull(actual);	15.16538286	1
	20	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertTrue(expected.containsAll(actual));	18.87846684	0
2	0	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertEquals(expected, actual);	98.49665713	1
	1	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertTrue(expected == actual);	35.25099587	0
	2	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertSame(expected, actual);	22.18866205	0
	3	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertArrayEquals(expectedArray, resultArray);	13.02982402	0
	5	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertEquals(expected, actual);	18.25817704	0
	8	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertNotNull(actual);	12.53957891	0
	9	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertThat(actual, is(equalTo(expected)));	20.59888005	0
	12	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertSame(expected, actual);	21.21756601	0
	13	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertNotNull(score.getMax());	22.2216723	0
	14	adlnet/jxapi	ScoreTest	testGetMax	assertEquals(expected,actual,0);	assertEquals(MAX, score.getMax());	36.69222403	0
3	0	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertSame(expected, actual);	22.68213987	0
	6	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertSame(expected, actual);	22.68213987	0
	7	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertNotNull(actual);	36.2605288	0
	9	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertEquals(expected, actual);	24.98643613	1
	18	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertSame(expected, actual);	42.43269205	0
	20	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertTrue(Math.abs(expected - actual) < DELTA);	37.32594395	0
	25	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertNotNull(actual);	16.42346406	0
	29	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertEquals(actual, delta);	28.97652078	0
4	0	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertArrayEquals(expected, actual);	37.32095814	1
	2	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertTrue(Arrays.equals(expected, actual). They))));	29.41004086	0
	9	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertNotNull(actual);	43.81465721	0
	11	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertArrayEquals(expected, actual);	22.45222878	0
	16	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertTrue(Arrays.deepEquals(expectedOutput, person.getName()));	19.455791	0
