ClassName#TestName	TrueOracle
ACollectionHelperTest#testFind	org.junit.Assert.assertEquals(AOption.<String>none(),ACollectionHelper.find(Arrays.<String>asList(),len1));
ACollectionHelperTest#testFlatMapTokens	org.junit.Assert.assertEquals(Arrays.<String>asList(),ACollectionHelper.flatMap(Arrays.<String>asList(),tokens));
AbstractServiceSetupTest#testGetProperty	org.junit.Assert.assertEquals("STR",create(env).getProperty("STR"));
AnnotationFilterTest#testLocalWarmupFilter	org.junit.Assert.assertEquals("STR",method.getName());
AppveyorTest#testGetName	org.junit.Assert.assertEquals("STR",newAppveyor(env()).getName());
ArrowTest#dir	org.junit.Assert.assertEquals(attrs(attr("STR","STR"),attr("STR","STR")),Arrow.BOX.dir(Arrow.DirType.BACK));
AsArrayCopyTest#testFlatMapOption	org.junit.Assert.assertEquals(createColl(),create().flatMap(uppercaseFirst));
BasicIndexingTest#testMissingCanonicalParamConfiguration	org.junit.Assert.assertEquals("STR",fields.get("STR"));
BeejuCoreTest#deleteDirectory	org.junit.Assert.assertFalse(Files.exists(testCore.warehouseDir()));
BinaryComparatorCompareTest#testDatetime	org.junit.Assert.assertEquals(comparator.compare(field(OType.DATETIME,now),field(OType.STRING,format.format(now))),0);
BinaryFrameTest#testExtends	org.junit.Assert.assertEquals(true,frameinstanceofDataFrame);
BooleanCodingTest#testLeadingZero	org.junit.Assert.assertEquals(7,leadingZeroCountInByte((byte)1));
BuildInfoUtilsTest#testIsMinVersion_whenVersionCannotBeFound_thenReturnFalse	org.junit.Assert.assertFalse(isMinVersion("STR",null));
CABACTest#testMBSkipFlag	org.junit.Assert.assertEquals(false,cabac.readMBSkipFlag(m,SliceType.P,false,false,0));
CharSerializerTest#testSerializeInWALChanges	org.junit.Assert.assertEquals(charSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),FIELD_SIZE);
CiEnvironmentTest#recognises_bamboo	org.junit.Assert.assertEquals("STR",CIEnvironment.detect(env).getCiName());
CiEnvironmentTest#recognises_tfs	org.junit.Assert.assertEquals("STR",CIEnvironment.detect(env).getCiName());
CircleTest#testGetBuildNumber	org.junit.Assert.assertEquals("STR",newCircle(env()).getBuildNumber());
ColorExtensionTest#testColorMov	org.junit.Assert.assertEquals(18,buf.remaining());
ColorTest#angle	org.junit.Assert.assertEquals(attrs(attr("STR","STR"),attr("STR",45)),Color.RED.angle(45));
CommUtilTest#testSameChars	org.junit.Assert.assertEquals("STR",CommUtil.repeatChar('b',10));
DefaultExtensionTest#testEncodeFrame	org.junit.Assert.assertEquals(ByteBuffer.wrap("STR".getBytes()),binaryFrame.getPayloadData());
DevUtilTest#testCleanTargetDir	org.junit.Assert.assertTrue(tempClass.exists());
DoubleSerializerTest#testFieldSize	org.junit.Assert.assertEquals(doubleSerializer.getObjectSize(null),FIELD_SIZE);
DoubleSerializerTest#testSerializeWALChanges	org.junit.Assert.assertEquals(doubleSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),FIELD_SIZE);
EndLabelTest#attrHead	org.junit.Assert.assertEquals(attrs(attr("STR",head),attr("STR",1d),attr("STR",2d)),attrs(head));
FloatSerializerTest#testSerializeInByteBuffer	org.junit.Assert.assertEquals(binarySize,FIELD_SIZE);
FloatSerializerTest#testSerializeWALChanges	org.junit.Assert.assertEquals(floatSerializer.getObjectSizeInByteBuffer(buffer,walChanges,serializationOffset),FIELD_SIZE);
GraphvizServerTest#cmdLineArgs	org.junit.Assert.assertEquals(map("STR","STR"),opts.opts);
GraphvizServerTest#cmdLineValueSeparated	org.junit.Assert.assertEquals(map("STR","STR"),opts.opts);
HandleHtmlInlineTagsTest#testInlineTagsWithMarkdown	org.junit.Assert.assertEquals("STR",m.markdown("STR").trim());
JMXJvmIdConnectionFactoryTest#testCreateConnection	org.junit.Assert.assertSame(result,this.mockJmxMbeanConnection);
JsonSchemaTest#jsonSchemaWithLoader	org.junit.Assert.assertTrue(validate(factory).isSuccess());
JsonWriterTest#testGetCoverallsFile	org.junit.Assert.assertSame(file,newJsonWriter(job,file).getCoverallsFile());
LabelTest#locate	org.junit.Assert.assertEquals(attrs(attr("STR",label.locate(TOP)),attr("STR","STR")),attrs(label.locate(TOP)));
LifeCycleTest#testAvailabilityCheck	org.junit.Assert.assertTrue(testFunctionAvailable(false));
LuceneSpatialIntersectsTest#testIntersectsIndex	org.junit.Assert.assertEquals(execute.size(),1);
MimeTest#testOverwritenMimeType	org.junit.Assert.assertEquals("STR",NanoHTTPD.getMimeTypeForFile("STR"));
MoneyToStrTest#checkUAHUKMinus	org.junit.Assert.assertEquals("STR",moneyToStrUAH.convert(-V_300D));
MorphologyTest#ģenerēšanaNezināmiem	org.junit.Assert.assertTrue("STR".matches("STR"));
NalUnitTest#testCanReadNalUnitFromValidNal	org.junit.Assert.assertEquals(3,actual.nal_ref_idc);
NalUnitTypeTest#testIdentifiesBadTypeCorrectly	org.junit.Assert.assertEquals(NALUnitType.fromValue(1),NALUnitType.NON_IDR_SLICE);
OAlterClassStatementExecutionTest#testName1	org.junit.Assert.assertNull(schema.getClass(className));
OChainIndexFetchTest#testFetchChaninedIndex	org.junit.Assert.assertEquals(0,res.size());
OCommandExecutorSQLCreatePropertyTest#testLinkedTypeDefaultAndMinMaxUnsafeProperty	org.junit.Assert.assertEquals(idProperty.getName(),PROP_ID);
OCommandExecutorSQLSelectTest#testDoNotUseIndexWithOrNotIndexed	org.junit.Assert.assertEquals(indexUsages(db),idxUsagesBefore);
OCommandExecutorSQLSelectTest#testOperatorPriority3	org.junit.Assert.assertEquals(qResult.size(),qResult2.size());
OCommandExecutorSQLSelectTest#testProjection2	org.junit.Assert.assertEquals(qResult.size(),2);
OCompositeIndexDefinitionTest#testCreateValueDefinitionsMoreThanParams	org.junit.Assert.assertEquals(result,newOCompositeKey(Arrays.asList(12,"STR")));
OCompositeIndexDefinitionTest#testCreateValueSuccessful	org.junit.Assert.assertEquals(result,newOCompositeKey(Arrays.asList(12,"STR")));
OCompositeIndexDefinitionTest#testDocumentToIndexRidBagValueSuccessfulThree	org.junit.Assert.assertEquals(result,expectedResult);
OCompositeKeyTest#testAddKeyComposite	org.junit.Assert.assertEquals(compositeKey.getKeys().size(),3);
OCompositeKeyTest#testCompareToPartiallySecondCase	org.junit.Assert.assertEquals(compositeKey.compareTo(anotherCompositeKey),0);
OConnectionExecutorTransactionTest#testBeginRollbackTransaction	org.junit.Assert.assertFalse(database.getTransaction().isActive());
OCreateIndexStatementExecutionTest#testIfNotExists	org.junit.Assert.assertNull(db.getMetadata().getIndexManager().getIndex(className+"STR"));
OCustomSQLFunctionsTest#testAbsDouble	org.junit.Assert.assertTrue((Double)result.get(0).field("STR")==5.0);
ODirtyManagerTest#testEmbeddedDocument	org.junit.Assert.assertEquals(2,manager.getNewRecords().size());
ODirtyManagerTest#testSetToNullLink	org.junit.Assert.assertEquals(2,manager.getNewRecords().size());
ODocumentSchemalessBinarySerializationTest#testArrayOfArray	org.junit.Assert.assertEquals(extr.fields(),document.fields());
OETLCSVExtractorTest#testDateTypeAutodetection	org.junit.Assert.assertEquals(2008,birthday.getYear()+1900);
OETLCSVExtractorTest#testFloatWithinQuotesAndCommaAsDecimalSeparator	org.junit.Assert.assertFalse(res.isEmpty());
OETLFieldTransformerTest#testRemove	org.junit.Assert.assertEquals(1,getResult().size());
OJsonWithCustom#testCustomField	org.junit.Assert.assertEquals(doc.<String>field("STR"),doc1.field("STR"));
OMatchStatementExecutionNewTest#testManager2	org.junit.Assert.assertEquals("STR",getManager2("STR").getProperty("STR"));
OObjectBinaryDataStorageTest#testSaveAndLoad_BinaryFieldsSimpleRecordMapping_InstantiatePojoUsingDbFactory	org.junit.Assert.assertNotNull(savedRonnie);
OPropertyListIndexDefinitionTest#testProcessChangeEventAddOnceWithConversion	org.junit.Assert.assertEquals(keysToAdd,addedKeys);
OPropertyListIndexDefinitionTest#testProcessChangeEventUpdateConvertValues	org.junit.Assert.assertEquals(keysToAdd,addedKeys);
OPropertyMapIndexDefinitionTest#testEmptyIndexByKeyReload	org.junit.Assert.assertEquals(result,propertyIndexByKey);
OPropertyMapIndexDefinitionTest#testProcessChangeEventRemoveKeyWithConversion	org.junit.Assert.assertEquals(keysToAdd,addedKeys);
ORemotePushMessagesTest#testSubscribeResponse	org.junit.Assert.assertTrue(responseRead.getResponse()instanceofOSubscribeLiveQueryResponse);
OSBTreeBonsaiLeafBucketTest#testInitialization	org.junit.Assert.assertEquals(treeBucket.size(),0);
OSelectStatementTest#testTranslateLucene	org.junit.Assert.assertTrue(stm.whereClause.toString().contains("STR"));
ObjectQueryPreparerTest#testPrepareObjectQueryWithParameterReplacement	org.junit.Assert.assertSame(this.testTarget002,result.getTarget());
OneEntryPerKeyLockManagerNullKeysTest#testNullKeyExclusive	org.junit.Assert.assertEquals(2,wrapper(lock).getLockCount());
OptionsTest#toJsonMinimal	org.junit.Assert.assertEquals("STR"+uriPathOf(newFile("STR"))+"STR",s);
OrientDBConfigTest#testParentConfig	org.junit.Assert.assertEquals(settings.getConfigurations().getValue(OGlobalConfiguration.DB_POOL_MAX),(Integer)20);
OrientDBRemoteTest#testListDatabases	org.junit.Assert.assertEquals(factory.list().size(),0);
OrientGraphFactoryTest#createNoTxPool	org.junit.Assert.assertSame(g,OrientBaseGraph.getActiveGraph());
PerMessageDeflateExtensionTest#testGetDeflater	org.junit.Assert.assertEquals(deflateExtension.getDeflater().finished(),newDeflater(Deflater.DEFAULT_COMPRESSION,true).finished());
PropertyBindingSupport_Test#bind_withPath	org.junit.Assert.assertEquals("STR",someObject.otherObject.stringField);
PropertyBindingSupport_bind0_NonNumericalTest#bind_enum_nullValue	org.junit.Assert.assertNull(testObject.enumField);
RecordsTest#mlabel	org.junit.Assert.assertEquals(attrs(attr("STR","STR"),attr("STR","STR")),Records.mLabel("STR"));
ReflectionUtilsTest#testInvokeMethod	org.junit.Assert.assertFalse(InvokeMethodTest.hasBeenInvoked);
RegexFilterTest#testImagesFilter	org.junit.Assert.assertEquals(null,filterResult);
RegistryTest#testGetWorkers_getMemberWorkers_notEnoughWorkersFound	org.junit.Assert.assertEquals(4,registry.workerCount());
RemoteQuerySupportTest#testQueryEmbeddedMap	org.junit.Assert.assertNotNull(item.getProperty("STR"));
RemoteQuerySupportTest#testQueryEmbeddedSet	org.junit.Assert.assertNotNull(item.getProperty("STR"));
RemoteTransactionSupportTest#testQueryUpdateUpdatedInTxTransaction	org.junit.Assert.assertEquals((long)result.next().getProperty("STR"),1L);
RpcConnectionManagerTest#testRemoveConnWithSpecifiedPoolkey	org.junit.Assert.assertEquals(2,cm.count(poolKey));
ScriptExecutorTest#bash	org.junit.Assert.assertTrue(promise.getAnswer()instanceofString);
SerializableTest#testHashSetSerializable	org.junit.Assert.assertEquals(MyEquality.INSTANCE,JUnitTestSupport.equality(serDeser(AHashSet.empty(MyEquality.INSTANCE))));
ShippableTest#testPullRequest	org.junit.Assert.assertEquals("STR",newShippable(env()).getPullRequest());
SimpleLabelTest#simple	org.junit.Assert.assertEquals("STR",SimpleLabel.of("STR").serialized());
