ClassName#TestName	TrueOracle
ACollectionHelperTest#testGroupByCustomEquality	assertEquals(2,grouped.size());
AJsonSerHelperTest#testArray3	assertEquals("STR",result);
AJsonSerHelperTest#testDoubleWithFrac1	assertEquals("STR",result);
AlterPropertyTest#testPropertyRenamingReload	assertEquals(property,classA.getProperty("STR"));
BambooEnvironmentVariablesTest#duplicates_bamboo_prefixed_env_vars_with_prefixless_copy	assertEquals("STR",convertedEnv.get("STR"));
BambooEnvironmentVariablesTest#prefixless_env_var_takes_precendence	assertEquals("STR",convertedEnv.get("STR"));
BasicIndexingTest#testFilterDocumentWithMetadata	assertEquals("STR",fields.get("STR"));
BasicIndexingTest#testRelativeCanonicalURL	assertEquals("STR",fields.get("STR"));
BasicURLNormalizerTest#testProperURLEncodingWithBackSlash	assertEquals(expectedResult,normalizedUrl);
BasicURLNormalizerTest#testQuerySort	assertEquals(expectedResult,normalizedUrl);
BasicURLNormalizerTest#testRemoveAllQueryParams	assertEquals(expectedResult,normalizedUrl);
CommUtilTest#testBC	assertEquals("STR",CommUtil.toDBC("STR"));
DevUtilTest#testNotGeneratedConfigFiles	assertFalse(util.isGeneratedConfigFile(sourceFile,configDirectory,targetDir));
EnvFilterTest#allows_overriding_mask	assertEquals(expectedEnv,envFilter.filter(env));
FramedataImpl1Test#testSetters	assertEquals(false,frame.isFin());
HeadersTest#test_Add_RemoveHeaders	assertEquals("STR",client.removeHeader("STR"));
InvalidHandshakeExceptionTest#testConstructor	assertEquals(CloseFrame.PROTOCOL_ERROR,invalidHandshakeException.getCloseCode());
JMXRemoteUrlConnectionFactoryTest#testGetTargetDescription	assertEquals("STR",this.factory.getTargetDescription());
MBeanAnnotationUtilTest#testGetAttributes	assertEquals(2,atts.size());
MorphologyTest#inflexible_genitive_generation	assertEquals(1,formas.size());
ODirtyManagerTest#testLinkCollectionRemove	assertEquals(1,manager.getNewRecords().size());
OPropertyMapIndexDefinitionTest#testCreateDDLByKey	assertEquals(ddl,"STR");
OpenKoreanProcessorJavaTest#testNormalize	assertEquals("STR",OpenKoreanTextProcessorJava.normalize("STR"));
ProcessorManagerTest#testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);
PuzzleTest#same_cells_means_same_puzzle	assertEquals(a,b);
RegistryTest#testGetTest	assertEquals(2,testData.getTestIndex());
RpcConnectionManagerTest#testAddWithPoolKey	assertEquals(1,cm.count(poolKey));
ScoreTest#testSetRaw	assertEquals(expected,actual);
SeqTest#testCommaList	assertEquals("STR",Seq.join(Arrays.asList("STR","STR","STR"),"STR"));
SeqTest#testConstantMap	assertArrayEquals("STR","STR"});
SeqTest#testJoinListNull	assertEquals("STR",Seq.join(null,"STR"));
SimulatorPropertiesTest#testGet_CLOUD_IDENTITY	assertEquals("STR",simulatorProperties.getCloudIdentity());
SimulatorPropertiesTest#testGet_withDefaultValue_defaultIsUsed	assertEquals("STR",simulatorProperties.get("STR","STR"));
SvgSizeAnalyzerTest#svgWithoutChanges	assertEquals(SVG,a.getSvg());
TestContainer_BasicTest#testGetTestInstance	assertEquals(test,testContainer.getTestInstance());
ToJSONTest#testCycle	assertEquals("STR"+"STR"+"STR"+"STR"+"STR"+"STR"+"STR",ToJSON.toJSON(cl1));
YubicoClientTest#testLongOTP	assertFalse(YubicoClient.isValidOTPFormat(otp));
