TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr
0	0	adlnet/jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	7.41	0
	1	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(actual.contains(expected));	6.59	0
	3	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotNull(actual);	6.52	1
	4	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertFalse(actual.isEmpty());	5.89	0
	5	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotSame(expected,actual`isaplausibleexpected,actual);	6.47	0
	6	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(condition`isaplausiblecondition);	6.36	0
	11	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	14.34	0
	12	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertSame(expected,actual);	6.89	0
	16	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,activityDefinition.getType());	25.24	0
	17	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,activityDefinition.getType());	12.87	0
1	0	adlnet/jxapi	VerbsTest	testVoided	assertNotNull(actual);	assertTrue(actual.getId().endsWith("STR"));	20.19	0
	1	/	VerbsTest	testVoided	assertNotNull(actual);	assertEquals("STR",actual.getId().substring(actual.getId().lastIndexOf("STR")+1));	12.92	0
	2	/	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual);	7.1	1
	3	/	VerbsTest	testVoided	assertNotNull(actual);	assertFalse("STR".equals(actual.getId()));	21.99	0
	5	/	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual);	13.41	1
	6	/	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame(null,actual);	6.34	0
	10	/	VerbsTest	testVoided	assertNotNull(actual);	assertTrue(actualinstanceofVerb);	5.95	0
	11	/	VerbsTest	testVoided	assertNotNull(actual);	assertEquals(actual.getLabel()`isaplausible"voided",actual.getLabel());	6.79	0
	12	/	VerbsTest	testVoided	assertNotNull(actual);	assertEquals("STR",actual.getId());	18.82	0
	13	/	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame(expected,actual`isaplausibleexpected,actual);	6.26	0
2	0	adlnet/jxapi	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	5.67	0
	1	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(actual.contains(expected));	6.15	0
	2	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotNull(actual);	6.12	1
	3	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertFalse(condition`);	9.89	0
	4	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotEquals(expected,actual`isaplausibleexpected);	6.88	0
	5	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertSame(expected,actual);	7.33	0
	6	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotSame(expected,actual`isaplausibleexpected,actual);	6.6	0
	7	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	12.05	0
	9	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotEquals(expected,actual)`.Thisexpected,actual);	8.38	0
	10	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(condition`isaplausiblecondition);	6.41	0
0	0	orientechnologies/orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(db.getActiveIntent());	93.64	1
	2	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotSame(newOIntentMassiveInsert(),db.getActiveIntent());	160.61	0
	3	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()!=null);	221.64	0
	4	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertFalse(db.getActiveIntent()==null);	93.03	0
	5	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotEquals(newOIntentMassiveInsert(),db.getActiveIntent());	435.24	0
	6	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertThat(db.getActiveIntent(),notNullValue()`isaplausibledb.getActiveIntent(),notNullValue());	96.33	0
	10	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()instanceofOIntentMassiveInsert);	193.42	0
	13	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(db.getActiveIntent());	159.85	1
	14	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(intent,db.getActiveIntent()`isaplausibleintent);	95.83	0
	15	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotSame(newOIntentMassiveInsert(),db.getActiveIntent()`isaplausiblenewOIntentMassiveInsert(),db.getActiveIntent());	100.02	0
1	0	orientechnologies/orientdb	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(storedVar,var);	76.02	1
	1	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(var==storedVar);	74.66	0
	2	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(10,buffer1.position());	144.87	0
	3	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotEquals(0,buffer2.position()`isaplausible0);	74.87	0
	5	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(buffer1.remaining()<=buffer1.capacity());	75.09	0
	6	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(storedVar,var);	142.27	1
	7	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotNull(buffer1);	74.37	0
	9	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertSame(buffer1,buffer2`isaplausiblebuffer1);	73.23	0
	10	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotSame(buffer1,buffer2);	76.05	0
	11	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(storedVar,var);	146.94	1
2	0	orientechnologies/orientdb	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(qResult.size()>0);	98.57	0
	1	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertEquals(2,qResult.size());	89.64	1
	2	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotNull(Object)`.Itchecksifthegivenobjectisnotnull.Here'sthegeneratedcode:);	36.25	0
	3	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertFalse(boolean)`isaplausibleqResult.isEmpty());	40.79	0
	4	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotEquals(expected,actual)`?Itchecksiftheexpectedvalueisnotequaltotheactualvalue.Here'sthegeneratedcode:);	47.37	0
	5	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertArrayEquals(expectedArray,actualArray)`.);	45.07	0
	8	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotNull(qResult);	61.33	0
	9	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(condition)`?Itchecksifthegivenconditionistrue.Here'sthegeneratedcode:);	41.63	0
	10	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotSame(expected,actual)`?Itchecksiftheexpectedobjectreferenceisnotthesameastheactualobjectreference.Here'sthegeneratedcode:);	42.96	0
	12	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	???;	43.23	0
3	0	orientechnologies/orientdb	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertEquals(keyIndexDefinition.getParamCount(),1);	74.19	1
