TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Sorted
1	0	adlnet/jxapi	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertEquals(expected,actual);	47.79	0	1
1	1	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertSame(expected,actual);	47.79	0	1
1	2	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertArrayEquals(expected.toArray(),actual.toArray());	47.79	0	1
1	3	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertTrue(expected.equals(actual));	47.79	0	1
1	4	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertNotNull(actual);	47.79	1	1
1	5	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertIterableEquals(expected,actual);	47.79	0	1
1	6	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertLinesMatch(expected.stream().map(Activity::toString).collect(Collectors.toList()),actual.stream().map(Activity::toString).collect(Collectors.toList()));	47.79	0	1
1	7	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertNotSame(expected,actual);	47.79	0	1
1	8	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertNotEquals(expected,actual);	47.79	0	1
1	9	/	ContentActivitiesTest	testGetGrouping	assertNotNull(actual);	assertEquals(expected.toString(),actual.toString());	47.79	0	1
2	0	adlnet/jxapi	ScoreTest	testSetRaw	assertEquals(expected,actual);	assertEquals(expected,actual);	39.51	0	1
2	1	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertTrue(expected==actual);	39.51	0	1
2	2	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertEquals(score.getRaw(),actual);	39.51	0	1
2	3	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertTrue(score.getRaw()==actual);	39.51	0	1
2	4	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertFalse(expected==actual);	39.51	0	1
2	5	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertNotEquals(expected,actual);	39.51	0	1
2	6	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertNotEquals(score.getRaw(),actual);	39.51	0	1
2	7	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertFalse(score.getRaw()==actual);	39.51	0	1
2	8	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertTrue(condition);	39.51	0	1
2	9	/	ScoreTest	testSetRaw	assertEquals(expected,actual,0);	assertNotNull(score);	39.51	0	1
3	0	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertArrayEquals(expected,actual);	65.62	1	1
3	1	/	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertEquals(expected.toString(),actual.toString());	65.62	0	1
3	2	/	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertTrue(Arrays.equals(expected,actual));	65.62	0	1
3	3	/	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertNotNull(person);	65.62	0	1
3	4	/	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertEquals(NAME,person.getName());	65.62	0	1
3	5	/	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertNotEquals("STR",person.getName());	65.62	0	1
3	6	/	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertArrayEquals(newString[]{NAME,MBOX});	65.62	0	1
