TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Sorted
0	0	adlnet/jxapi	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotSame(expected,actual);	63.87235212	0	0
0	1	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotNull(actual);	63.87235212	1	0
0	2	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertThat(actual,is(expected));	63.87235212	0	0
0	3	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertEquals(expected,actual);	63.87235212	0	0
0	4	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNull(actual);	63.87235212	0	0
0	5	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertArrayEquals(expectedArray,actualArray);	63.87235212	0	0
0	6	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertNotEquals(expected,actual);	63.87235212	0	0
0	7	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertFalse(condition);	63.87235212	0	0
0	8	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertSame(expected,actual);	63.87235212	0	0
0	9	/	ActivityDefinitionTest	testSetType	assertNotNull(actual);	assertTrue(condition);	63.87235212	0	0
1	0	adlnet/jxapi	VerbsTest	testVoided	assertNotNull(actual);	assertNotNull(actual);	49.65318823	1	0
1	1	/	VerbsTest	testVoided	assertNotNull(actual);	assertNotSame(Verbs.createVerb("STR"),actual);	49.65318823	0	0
1	2	/	VerbsTest	testVoided	assertNotNull(actual);	assertEquals("STR",actual.getName());	49.65318823	0	0
1	3	/	VerbsTest	testVoided	assertNotNull(actual);	assertArrayEquals(newString[]{"STR"},actual.getAliases());	49.65318823	0	0
1	4	/	VerbsTest	testVoided	assertNotNull(actual);	assertNotEquals(Verbs.createVerb("STR"),actual);	49.65318823	0	0
1	5	/	VerbsTest	testVoided	assertNotNull(actual);	assertSame(Verbs.createVerb("STR"),actual);	49.65318823	0	0
1	6	/	VerbsTest	testVoided	assertNotNull(actual);	assertThrows(IllegalArgumentException.class,()->Verbs.createVerb(null));	49.65318823	0	0
1	7	/	VerbsTest	testVoided	assertNotNull(actual);	assertFalse(actual.isNotVoided());	49.65318823	0	0
1	8	/	VerbsTest	testVoided	assertNotNull(actual);	assertNotEquals("STR",actual.getName());	49.65318823	0	0
1	9	/	VerbsTest	testVoided	assertNotNull(actual);	assertTrue(actual.isVoided());	49.65318823	0	0
2	0	adlnet/jxapi	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotSame(expected,actual);	41.38656282	0	0
2	1	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertEquals(expected,actual);	41.38656282	0	0
2	2	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertArrayEquals(expectedArray,actualArray);	41.38656282	0	0
2	3	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotEquals(expected,actual);	41.38656282	0	0
2	4	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNotNull(object);	41.38656282	0	0
2	5	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertNull(object);	41.38656282	0	0
2	6	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertFalse(condition);	41.38656282	0	0
2	7	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertSame(expected,actual);	41.38656282	0	0
2	8	/	SubStatementTest	testGetTimestamp	assertNotNull(actual);	assertTrue(condition);	41.38656282	0	0
3	0	orientechnologies/orientdb	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(internal.getActiveIntent());	776.0850611	0	0
3	1	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(getActiveIntent()instanceofOIntent);	776.0850611	0	0
3	2	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotNull(db.getActiveIntent());	776.0850611	1	0
3	3	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(intent,getActiveIntent());	776.0850611	0	0
3	4	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertEquals(OIntent.class,getActiveIntent().getClass());	776.0850611	0	0
3	5	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertTrue(db.getActiveIntent()instanceofOIntentMassiveInsert);	776.0850611	0	0
3	6	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertSame(getActiveIntent(),internal.getActiveIntent());	776.0850611	0	0
3	7	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotEquals(null,db.getActiveIntent());	776.0850611	0	0
3	8	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertNotSame(internal.getActiveIntent(),getActiveIntent());	776.0850611	0	0
3	9	/	ODatabaseDocumentTxTest	testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());	assertSame(intent,getActiveIntent());	776.0850611	0	0
4	0	orientechnologies/orientdb	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotNull(buffer1);	253.2837079	0	0
4	1	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(storedVar,var);	253.2837079	1	0
4	2	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertTrue(storedVar>var);	253.2837079	0	0
4	3	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertFalse(storedVar<var);	253.2837079	0	0
4	4	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNull(buffer2.get(9));	253.2837079	0	0
4	5	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertEquals(buffer1.get(9),buffer.get(0));	253.2837079	0	0
4	6	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotSame(buffer,buffer2);	253.2837079	0	0
4	7	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertSame(buffer,buffer1);	253.2837079	0	0
4	8	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertNotEquals(buffer1.get(8),buffer.get(1));	253.2837079	0	0
4	9	/	OByteBufferUtilsTest	testSplitShort	assertEquals(storedVar,var);	assertArrayEquals(buffer.array(),buffer2.array());	253.2837079	0	0
5	0	orientechnologies/orientdb	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertEquals(5,qResult.size());	211.9505601	0	0
5	1	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertEquals(1,qResult.get(0).field("STR"));	211.9505601	0	0
5	2	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertFalse(qResult.stream().anyMatch(doc->doc.field("STR").equals("STR")));	211.9505601	0	0
5	3	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertNotNull(qResult.get(0).field("STR"));	211.9505601	0	0
5	4	/	OMatchStatementExecutionTest	testMaxDepthArrow	assertEquals(2,qResult.size());	assertTrue(qResult.isEmpty());	211.9505601	0	0
