TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Incorr	BuildErr	RunErr	TestFailure
0	5	/	SeqTest	testCommaList	"assertEquals(""STR"",Seq.join(Arrays.asList(""STR"",""STR"",""STR""),""STR""));"	"assertEquals(""STR"",join(Arrays.asList(""STR"",""STR""),""STR""));"	52.75606179237366	0	1	1	0	0
2	0	redraiment/jactiverecord	TSqlBuilderTest	testSort	"assertEquals(""STR"",sql.toString());"	"assertEquals(""STR"",sql.toString().replace(""STR"",""STR"").trim());"	34.248576164245605	0	1	1	0	0
	1	/	TSqlBuilderTest	testSort	"assertEquals(""STR"",sql.toString());"	assertEquals()`methodtoperformacase-insensitivecomparison.);	365.4440350532532	0	1	1	0	0
	4	/	TSqlBuilderTest	testSort	"assertEquals(""STR"",sql.toString());"	"assertEquals(""STR"",sql.toString().toUpperCase());"	33.25310301780701	0	1	1	0	0
	6	/	TSqlBuilderTest	testSort	"assertEquals(""STR"",sql.toString());"	"assertEquals(""STR"",sql.toString().replaceAll(""STR"",""STR""));"	34.088160037994385	0	1	1	0	0
	11	/	TSqlBuilderTest	testSort	"assertEquals(""STR"",sql.toString());"	"assertEquals(""STR"",sql.toString());"	33.406458139419556	1	0	1	0	0
0	0	jcodec/jcodec	MkvBlockTest	testEbml	assertArrayEquals(expecteds,MkvBlock.calcEbmlLacingDiffs(_in));	assertArrayEquals(expecteds,calcEbmlLacingDiffs(_in));	160.5497121810913	0	1	1	0	0
	4	/	MkvBlockTest	testEbml	assertArrayEquals(expecteds,MkvBlock.calcEbmlLacingDiffs(_in));	???;	178.76881003379822	0	1	1	0	0
	5	/	MkvBlockTest	testEbml	assertArrayEquals(expecteds,MkvBlock.calcEbmlLacingDiffs(_in));	assertEquals(expecteds[0],FOCAL.calcEbmlLacingDiffs(_in)[0]);	105.01999688148499	0	1	1	0	0
	6	/	MkvBlockTest	testEbml	assertArrayEquals(expecteds,MkvBlock.calcEbmlLacingDiffs(_in));	assertArrayEquals(expecteds,MkvBlockTest.calcEbmlLacingDiffs(_in));	436.1036458015442	0	1	1	0	0
	7	/	MkvBlockTest	testEbml	assertArrayEquals(expecteds,MkvBlock.calcEbmlLacingDiffs(_in));	assertArrayEquals(expecteds,calcEbmlLacingDiffs(_in));	201.0231649875641	0	1	1	0	0
1	0	jcodec/jcodec	EbmlUtilTest	testEbmlBytes	assertArrayEquals(newbyte[]{(byte)0x81},ebmlEncode(1));	assertArrayEquals(expectedBytes,ebmlEncode(value));	87.56474804878235	0	1	1	0	0
	1	/	EbmlUtilTest	testEbmlBytes	assertArrayEquals(newbyte[]{(byte)0x81},ebmlEncode(1));	assertArrayEquals(expectedBytes,actualBytes);	102.05442428588867	0	1	1	0	0
	3	/	EbmlUtilTest	testEbmlBytes	assertArrayEquals(newbyte[]{(byte)0x81},ebmlEncode(1));	assertTrue(expectedEncodedLength!=ebmlEncode(value).length);	85.00248503684998	0	1	1	0	0
	9	/	EbmlUtilTest	testEbmlBytes	assertArrayEquals(newbyte[]{(byte)0x81},ebmlEncode(1));	assertNotEquals(ebmlEncodeLen(3,2),EbmlUtil.ebmlEncode(98765).length);	102.6613781452179	0	1	1	0	0
	15	/	EbmlUtilTest	testEbmlBytes	assertArrayEquals(newbyte[]{(byte)0x81},ebmlEncode(1));	???;	86.11237692832947	0	1	1	0	0
0	2	/	MoneyToStrTest	checkUAHRUSMinus	"assertEquals(""STR"",moneyToStrUAHRUS.convert(-V_300D));"	"assertEquals(moneyToStrUAHRUS.convert(-50.0)).replaceAll(""STR"",""STR"");"	41.3721809387207	0	1	1	0	0
1	9	/	MoneyToStrTest	checkUAHUKMinus	"assertEquals(""STR"",moneyToStrUAH.convert(-V_300D));"	"assertEquals(""STR"",moneyToStrRURRUS.convert(351.50));"	40.26971435546875	0	1	1	0	0
	10	/	MoneyToStrTest	checkUAHUKMinus	"assertEquals(""STR"",moneyToStrUAH.convert(-V_300D));"	"assertEquals(""351.50рубля"",foca`.);"	28.43966007232666	0	1	1	0	0
	11	/	MoneyToStrTest	checkUAHUKMinus	"assertEquals(""STR"",moneyToStrUAH.convert(-V_300D));"	assertNotNull(result);	38.785666704177856	0	1	1	0	0
	13	/	MoneyToStrTest	checkUAHUKMinus	"assertEquals(""STR"",moneyToStrUAH.convert(-V_300D));"	"assertTrue(moneyToStrUSDENG.convert(100.0).contains(""STR""));"	38.70170021057129	0	1	1	0	0
	14	/	MoneyToStrTest	checkUAHUKMinus	"assertEquals(""STR"",moneyToStrUAH.convert(-V_300D));"	assertEquals(expectedOutput,actualOutput);	26.391312837600708	0	1	1	0	0
2	2	/	OCompositeIndexDefinitionTest	testDocumentToIndexCollectionValueEmptyOneNullValuesSupport	assertEquals(result,Arrays.asList(newOCompositeKey(12,null)));	???;	133.67848134040833	0	1	1	0	0
	8	/	OCompositeIndexDefinitionTest	testDocumentToIndexCollectionValueEmptyOneNullValuesSupport	assertEquals(result,Arrays.asList(newOCompositeKey(12,null)));	assertTrue(java.util.Objects.equals(result,Collections.emptySet()));	399.7559940814972	0	1	1	0	0
4	5	/	RemoteTransactionSupportTest	testQueryDeleteTxSQLTransaction	assertFalse(result.hasNext());	assertNotNull(result.getExecutionPlan().orElse(null));	111.9411609172821	0	1	1	0	0
	12	/	RemoteTransactionSupportTest	testQueryDeleteTxSQLTransaction	assertFalse(result.hasNext());	assertEquals(expectedCount,result.stream().count());	112.10875105857849	0	1	1	0	0
	14	/	RemoteTransactionSupportTest	testQueryDeleteTxSQLTransaction	assertFalse(result.hasNext());	assertNotNull(result.stream().findFirst().orElse(null));	114.01659083366394	0	1	1	0	0
6	6	/	ORidBagAtomicUpdateTest	testAddTwoSavedDocuments	assertEquals(database.countClusterElements(database.getDefaultClusterId()),recordsCount);	assertEquals(2,finalCount);	162.4091010093689	0	1	1	0	0
8	16	/	OCommandExecutorSQLCreatePropertyTest	testLinkedTypeDefaultAndMinMaxUnsafeProperty	assertEquals(idProperty.getName(),PROP_ID);	assertEquals(expectedValue,actualValue);	81.33209872245789	0	1	1	0	0
	17	/	OCommandExecutorSQLCreatePropertyTest	testLinkedTypeDefaultAndMinMaxUnsafeProperty	assertEquals(idProperty.getName(),PROP_ID);	assertNotSame(expectedValue,actualValue);	108.52870106697083	0	1	1	0	0
	18	/	OCommandExecutorSQLCreatePropertyTest	testLinkedTypeDefaultAndMinMaxUnsafeProperty	assertEquals(idProperty.getName(),PROP_ID);	???;	102.23749923706055	0	1	1	0	0
9	0	orientechnologies/orientdb	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertArrayEquals(newInteger[]{s,t});	141.17215633392334	0	1	1	0	0
	1	/	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertArrayEquals()`methodfromthe`org.junit.Assert`classisnotsuitableforthe`java.lang.Integer[]`types.Inthiscase,insteadofusing`)`,wecanuse`)`tocheckwhethertheexpectedarrayandthereturnedarrayhavethesamelengthandcontentsusing`Arrays.equals()`.Here'stheupdatedcode:);	117.01523470878601	0	1	1	0	0
	2	/	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertArrayEquals(expected,actual);	123.07409501075745	0	1	1	0	0
	3	/	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertNotNull(resultSet);	152.77905797958374	0	1	1	0	0
	11	/	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertTrue(Arrays.asList(clazzV.getClusterIds()).contains(s));	81.15718913078308	0	1	1	0	0
	12	/	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertTrue(Arrays.asList(clazzV.getClusterIds()).contains(s));	146.21541786193848	0	1	1	0	0
	18	/	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertTrue(Arrays.asList(clazzV.getClusterIds()).contains(s)||Arrays.asList(clazzV.getClusterIds()).contains(t));	109.0971508026123	0	1	1	0	0
	19	/	CreateClassMultipleClusterTest	testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);	assertFalse(Arrays.asList(clazzV.getClusterIds()).isEmpty());	145.97225189208984	0	1	1	0	0
12	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertEquals(expectedSize,focalObject.fields());	106.49106097221375	0	1	1	0	0
	1	/	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertEquals(1,document.getElementCount());	145.48322916030884	0	1	1	0	0
	2	/	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertTrue(extr.fields()>=focalObject.fields());	105.9339210987091	0	1	1	0	0
	3	/	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertNotNull(extr);	38.42056703567505	0	1	1	0	0
	4	/	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertNotEquals(0,extr.fields());	73.22095274925232	0	1	1	0	0
	5	/	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertTrue(extr.fields()>0);	38.53254008293152	0	1	1	0	0
	6	/	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertTrue(actualResult.fields()>=minimumValidFields);	107.3820538520813	0	1	1	0	0
	7	/	ODocumentSchemalessBinarySerializationTest	testListOfMapsWithNull	assertEquals(extr.fields(),document.fields());	assertFalse(extr.fields()==0);	39.23980522155762	0	1	1	0	0
