TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	BuildErr
1	0	jcodec/jcodec	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertTrue(result>=0&&result<=3);	268.89679622650146	0	0
/	1	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertEquals(expectedValue,focalObject.readInterIntraUvMode(yMode,decoder,c));	413.8813269138336	0	0
/	2	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotNull(focalObject.readInterIntraUvMode(0,decoder,obj));	304.8374228477478	0	0
/	3	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertEquals(5,focalObject.readInterIntraUvMode(yMode,newVPXBooleanDecoder(newbyte[0],0),c));	736.0721051692963	0	0
/	5	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotEquals(expectedResult,actualResult);	530.1052589416504	0	0
/	6	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertEquals(expectedValue,focalMethodReturnValue);	422.09110021591187	0	0
/	8	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertEquals(expectedValue,f.readInterIntraUvMode(yMode,newMockVPXBooleanDecoder(),c));	397.1039969921112	0	0
/	9	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotEquals(1,FOCAL.readInterIntraUvMode(yMode,decoder,c));	752.8362221717834	0	0
/	10	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertEquals(expected,actual);	174.7303650379181	0	0
/	11	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertTrue(focalObject.readInterIntraUvMode(0,decoder,c)>=0);	641.671658039093	0	0
/	12	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertFalse(focal.readInterIntraUvMode(intraMode,decoder,c.getStateContext(yMode))<0);	414.0424256324768	0	0
/	13	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotEquals(-1,decoder.readInterIntraUvMode(1,decoder,c));	361.6372721195221	0	0
/	14	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotNull(newInt());	621.6560769081116	0	0
/	15	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotNull(focalMethodReturnValue);	586.4539570808411	0	0
/	16	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotSame(expectedValue,focalObject.readInterIntraUvMode(yMode,decoder,c));	736.5491609573364	0	0
/	18	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertTrue(ModeInfoTest.readInterIntraUvMode(decoder,c)==expectedValue);	414.7873270511627	0	0
/	20	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertEquals(expectedValue,actualValue);	287.60263895988464	0	0
/	21	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotEquals(unexpectedValue,focalObject.readInterIntraUvMode(yMode,decoder,decodingContext));	753.2576932907104	0	0
/	23	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertTrue(f.readInterIntraUvMode(yMode,decoder,cMockVPXObject.mock(DecodingContext.class))>=0);	421.5242748260498	0	0
/	25	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotSame(expectedResult,focalObject.readInterIntraUvMode(yMode,decoder,c));	714.8691980838776	0	0
/	26	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertFalse(c.readInterIntraUvMode(anyInt(),decoder,c)<0);	640.3738980293274	0	0
/	27	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertEquals(expectedResult,focalObject.readInterIntraUvMode(yMode,decoder,c));	735.1277351379395	0	0
/	28	//	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertTrue(focalObject.readInterIntraUvMode(0,decoder,newDecodingContext())>=0);	527.5064442157745	0	0
