TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Incorr	BuildErr	RunErr	TestFailure
0	0	hazelcast/hazelcast-simulator	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertFalse(result.isEmpty());	38.24905061721802	0	1	0	0	0
	1	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertEquals(2,result.size());	18.54958438873291	0	1	0	0	0
	2	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertEquals(result,query.execute(list));	37.401705741882324	0	1	0	0	0
	3	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertTrue(result.containsAll(result));	17.216936111450195	0	1	0	0	0
	4	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertNotEquals(0,result.size());	19.116236209869385	0	1	0	0	0
	6	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertTrue(result.size()>0);	18.029495000839233	0	1	0	0	0
	7	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertNotNull(result`isaplausibleresult);	19.05317497253418	0	1	0	0	0
	8	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertNotSame(list,result`isaplausiblelist,result);	18.251585245132446	0	1	0	0	0
	10	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertFalse(result.isEmpty());	68.93061780929565	0	1	0	0	0
	11	/	WorkerQueryTest	workerTags	assertEquals(asList(list.get(0),list.get(2)),result);	assertTrue(result.stream().findAny().isPresent());	58.08859038352966	0	1	0	0	0
1	0	hazelcast/hazelcast-simulator	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertEquals(0,registry.agentCount());	68.85888624191284	1	0	0	0	0
	1	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertTrue(registry.agentCount()>=0);	18.824947118759155	0	1	0	0	0
	2	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertNotNull(registry);	18.77563500404358	0	1	0	0	0
	3	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertFalse(registry.agentCount()>0);	18.16016912460327	0	1	0	0	0
	4	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertEquals(0,registry.agentCount());	38.50390577316284	1	0	0	0	0
	5	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertNotEquals(5,registry.agentCount());	18.587085008621216	0	1	0	0	0
	7	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertTrue(registry.agentCount()<=10);	53.93608260154724	0	1	0	0	0
	8	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertNotEquals(0,registry.agentCount()`isaplausible0);	18.852854013442993	0	1	0	0	0
	9	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertEquals(0,registry.agentCount());	70.26437425613403	1	0	0	0	0
	10	/	SimulatorUtilsTest	testLoadComponentRegister_emptyFile_withoutSizeCheck	assertEquals(0,registry.agentCount());	assertNotEquals(3,registry.agentCount());	17.97071146965027	0	1	0	0	0
2	0	hazelcast/hazelcast-simulator	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertEquals(2,registry.agentCount());	19.436532020568848	1	0	0	0	0
	1	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertTrue(registry.agentCount()>0);	19.396764755249023	0	1	0	0	0
	2	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertNotNull(registry);	17.16925072669983	0	1	0	0	0
	3	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertFalse(registry.agentCount()==0);	18.103570222854614	0	1	0	0	0
	4	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertNotEquals(0,registry.agentCount()`isaplausible0);	18.58449697494507	0	1	0	0	0
	6	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertTrue(registry.agentCount()>=0);	18.45939588546753	0	1	0	0	0
	8	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertNotSame(null,registry);	18.832708835601807	0	1	0	0	0
	9	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertEquals(2,registry.agentCount());	37.89853119850159	1	0	0	0	0
	11	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertNotSame(registry,newRegistry());	20.38931918144226	0	1	0	0	0
	12	/	AgentsFileTest	testSave	assertEquals(2,registry.agentCount());	assertTrue(!registry.isEmpty()`isaplausible!registry.isEmpty());	18.09017848968506	0	1	0	0	0
0	0	javadev/moneytostr-russian	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	"assertEquals(""STR"",moneyToStrPER100.convert(100.0));"	17.89597511291504	0	1	0	0	0
	1	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	"assertNotEquals(""STR"",moneyToStrPER100.convert(100.0));"	9.3982412815094	0	1	0	0	0
	2	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	assertNotNull(moneyToStrPER100.convert(100.0));	9.141895771026611	0	1	0	0	0
	3	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	assertTrue(!moneyToStrPER100.convert(100.0).isEmpty());	9.515697002410889	0	1	0	0	0
	4	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	assertFalse(moneyToStrPER100.convert(100.0).isEmpty());	8.792145729064941	0	1	0	0	0
	10	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	"assertNotEquals(""STR"",moneyToStrPER100.convert(100.0));"	10.632256031036377	0	1	0	0	0
	11	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	"assertTrue(moneyToStrPER100.convert(100.0).contains(""STR""));"	10.460351943969727	0	1	0	0	0
	12	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	assertFalse(moneyToStrPER100.convert(100.0).isEmpty()`isaplausiblemoneyToStrPER100.convert(100.0).isEmpty());	8.790954113006592	0	1	0	0	0
	13	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	"assertEquals(""STR"",moneyToStrPER100.convert(100.0));"	26.655377626419067	0	1	0	0	0
	14	/	MoneyToStrTest	checkPER100	"assertEquals(""STR"",moneyToStrPER100.convert(V_1_01D));"	"assertNotEquals(""STR"",moneyToStrPER100.convert(100.0));"	8.06926155090332	0	1	0	0	0
0	3	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertTrue(cm.count(poolKey)>=0);	48.62458682060242	0	1	0	0	0
	4	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertTrue(cm.count(poolKey)>0);	62.786208152770996	0	1	0	0	0
	5	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertNotEquals(0,cm.count(poolKey));	22.121091604232788	0	1	0	0	0
	8	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertTrue(cm.count(poolKey)>0);	22.120240926742554	0	1	0	0	0
	13	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertTrue(cm.count(poolKey)>=0);	22.305291175842285	0	1	0	0	0
	19	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertNotEquals(expectedValue,actualValue`tocheckthattheactualvalueisnotequaltotheexpectedvalue.);	23.168145179748535	0	1	0	0	0
	21	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertNotEquals(0,cm.count(poolKey));	41.13458490371704	0	1	0	0	0
	22	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertEquals(1,cm.count(poolKey));	76.39541292190552	1	0	0	0	0
	23	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertEquals(1,cm.count(poolKey));	90.15669989585876	1	0	0	0	0
	24	/	RpcConnectionManagerTest	testAddWconnithPoolKey_multiPoolKey	assertEquals(1,cm.count(poolKey));	assertNotEquals(0,cm.count(poolKey));	58.667099475860596	0	1	0	0	0
0	12	/	ACollectionHelperTest	testGroupByCustomEquality	assertEquals(2,grouped.size());	???;	64.00631093978882	0	1	0	0	0
	14	/	ACollectionHelperTest	testGroupByCustomEquality	assertEquals(2,grouped.size());	???;	57.988816022872925	0	1	0	0	0
0	0	fluenda/ParCEFone	CEFParserTest	invalidMessageTypesTest	assertNull(event);	assertNull(event);	7.091219663619995	1	0	0	0	0
	1	/	CEFParserTest	invalidMessageTypesTest	assertNull(event);	assertNull(event);	17.17220640182495	1	0	0	0	0
	7	/	CEFParserTest	invalidMessageTypesTest	assertNull(event);	assertNull(event);	20.682117462158203	1	0	0	0	0
	13	/	CEFParserTest	invalidMessageTypesTest	assertNull(event);	assertNull(event);	20.34953260421753	1	0	0	0	0
	27	/	CEFParserTest	invalidMessageTypesTest	assertNull(event);	assertNull(event);	16.31359887123108	1	0	0	0	0
0	0	redraiment/jactiverecord	TSqlBuilderTest	testHaving	"assertEquals(""STR"",sql.toString());"	assertNotNull(sql.toString());	6.008729457855225	0	1	0	0	0
	1	/	TSqlBuilderTest	testHaving	"assertEquals(""STR"",sql.toString());"	"assertEquals(""STR"",sql.toString());"	26.34454846382141	1	0	0	0	0
