TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Correct	Sorted	Time
0	0	OpenLiberty/ci.common	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertSame(tempTextFile,configFile);	0	0	55.895461082458496
0	1	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertNotSame(tempTextFile,configFile);	0	0	55.895461082458496
0	2	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertEquals(tempTextFile,configFile);	0	0	55.895461082458496
0	3	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertNull(configFile);	0	0	55.895461082458496
0	4	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertNotEquals(tempTextFile,configFile);	0	0	55.895461082458496
0	5	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertNotEquals(tempTextFile.getName().toCharArray(),configFile.getName().toCharArray());	0	0	55.895461082458496
0	6	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertTrue(configFile.exists());	1	0	55.895461082458496
0	7	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertFalse(configFile.exists());	0	0	55.895461082458496
0	8	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertArrayEquals(tempTextFile.getName().toCharArray(),configFile.getName().toCharArray());	0	0	55.895461082458496
0	9	/	DevUtilTest	testGetFileFromConfigDirectory	assertTrue(configFile.exists());	assertNotNull(configFile);	0	0	55.895461082458496
1	0	nidi3/graphviz-java	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	assertThrows(NullPointerException.class,()->FOCAL(null));	0	0	91.30165982246399
1	1	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	"assertNotEquals(attrs(attr(SHAPE,RECORD),attr(LABEL,String.join(""STR"",newString[]{""STR""}))),FOCAL(of(""STR"")));"	0	0	91.30165982246399
1	2	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	"assertNotEquals(attrs(attr(SHAPE,RECTANGLE),attr(LABEL,""STR"")),FOCAL(of()).getAttr(LABEL));"	0	0	91.30165982246399
1	3	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	"assertEquals(attrs(attr(SHAPE,RECORD),attr(LABEL,String.join(""STR"",newString[]{}))),FOCAL(of()));"	0	0	91.30165982246399
1	4	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	"assertNotSame(attrs(attr(SHAPE,RECTANGLE),attr(LABEL,""STR"")),FOCAL(of(""STR"")));"	0	0	91.30165982246399
1	5	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	assertNull(FOCAL(of()).getAttr(SHAPE));	0	0	91.30165982246399
1	6	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	"assertTrue(FOCAL(of(""STR"")).hasAttr(LABEL));"	0	0	91.30165982246399
1	7	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	assertFalse(FOCAL(of()).hasAttr(LABEL));	0	0	91.30165982246399
1	8	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	assertArrayEquals(newString[]{SHAPE,LABEL});	0	0	91.30165982246399
1	9	/	RecordsTest	of	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",""STR"")),Records.of(""STR"",""STR"",""STR""));"	assertNotNull(FOCAL(of()));	0	0	91.30165982246399
2	0	nidi3/graphviz-java	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertFalse(zigzag.contains(10));	0	0	169.2880518436432
2	1	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertNotEquals(5,zigzag.size());	0	0	169.2880518436432
2	2	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertEquals(0,zigzag.size());	0	0	169.2880518436432
2	3	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertTrue(zigzag.contains(4));	0	0	169.2880518436432
2	4	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertTrue(zigzaginstanceofZigzag);	0	0	169.2880518436432
2	5	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertNotNull(zigzag);	0	0	169.2880518436432
2	6	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertNotSame(zigzag1,zigzag2);	0	0	169.2880518436432
2	7	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertFalse(zigzag.isEmpty());	0	0	169.2880518436432
2	8	/	FillStyleTest	zigzag	"assertEquals(map(""STR"",""STR""),FillStyle.zigzag().values);"	assertArrayEquals(2,3});	0	0	169.2880518436432
3	0	rockagen/commons-lib	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertArrayEquals(expectedArray,actualArray);	0	0	55.61489677429199
3	1	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertThat(value,CoreMatchers.is(expectedValue));	0	0	55.61489677429199
3	2	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertTrue(condition);	0	0	55.61489677429199
3	3	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertNull(object);	0	0	55.61489677429199
3	4	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertFalse(condition);	0	0	55.61489677429199
3	5	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertNotSame(expectedObject,actualObject);	0	0	55.61489677429199
3	6	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertSame(expectedObject,actualObject);	0	0	55.61489677429199
3	7	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	"assertNotEquals(""STR"",""STR"");"	0	0	55.61489677429199
3	8	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	"assertEquals(""STR"",""STR"");"	0	0	55.61489677429199
3	9	/	OPLogTest	testDescription	"assertEquals(""STR"",value);"	assertNotNull(object);	0	0	55.61489677429199
4	0	rockagen/commons-lib	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	"assertNotEquals(""STR"",obj.getName());"	0	0	54.573010206222534
4	1	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	assertFalse(map.isEmpty());	0	0	54.573010206222534
4	2	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	assertTrue(paramsMap.size()>0);	0	0	54.573010206222534
4	3	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	assertNull(obj.getEmail());	0	0	54.573010206222534
4	4	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	"assertArrayEquals(newObject[]{""STR"",""STR"",""STR"",""STR""},paramsMap.keySet().toArray());"	0	0	54.573010206222534
4	5	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	assertSame(TestVo.class,obj.getClass());	0	0	54.573010206222534
4	6	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	"assertEquals(""STR"",obj.getAddr());"	0	0	54.573010206222534
4	7	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	"assertTrue(map.containsKey(""STR""));"	0	0	54.573010206222534
4	8	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	assertEquals(21,obj.getAge());	1	0	54.573010206222534
4	9	/	ReflexUtilTest	testGetInstance	assertEquals(21,obj.getAge());	assertNotNull(obj);	0	0	54.573010206222534
5	0	sofastack/sofa-bolt	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertNull(someObject);	0	0	87.0566520690918
5	1	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertTrue(value>=min&&value<=max);	0	0	87.0566520690918
5	2	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertTrue(someBooleanValue);	0	0	87.0566520690918
5	3	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertFalse(someBooleanValue);	0	0	87.0566520690918
5	4	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertNotEquals(expectedObject,actualObject);	0	0	87.0566520690918
5	5	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertNotNull(someObject);	0	0	87.0566520690918
5	6	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertEquals(expectedObject,actualObject);	0	0	87.0566520690918
5	7	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertTrue(someCondition);	0	0	87.0566520690918
5	8	/	GlobalSwitchTest	testDefaultvalue	assertFalse(client1.isConnectionMonitorSwitchOn());	assertArrayEquals(expectedArray,actualArray);	0	0	87.0566520690918
6	0	sofastack/sofa-bolt	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	assertEquals(1,btUrl.getProtocol());	0	0	92.76079106330872
6	1	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	"assertEquals(""STR"",btUrl.getSerializeType());"	0	0	92.76079106330872
6	2	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	"assertNotEquals(""STR"",btUrl.getIp());"	0	0	92.76079106330872
6	3	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	assertNotSame(parser,null);	0	0	92.76079106330872
6	4	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	"assertTrue(url.contains(""STR""));"	0	0	92.76079106330872
6	5	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	assertNotEquals(btUrl,null);	0	0	92.76079106330872
6	6	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	assertFalse(url.isEmpty());	0	0	92.76079106330872
6	7	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	assertEquals(3000,btUrl.getTimeout());	0	0	92.76079106330872
6	8	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	assertEquals(2000,btUrl.getConnectTimeout());	0	0	92.76079106330872
6	9	/	RpcAddressParserTest	testParserConnectTimeout	"assertEquals(""STR"",btUrl.getIp());"	assertNotNull(btUrl);	0	0	92.76079106330872
7	0	sofastack/sofa-bolt	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertTrue(processorManager.getProcessor(cmd2)instanceofRpcRequestProcessor);	0	0	101.1541690826416
7	1	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertEquals(processorManager.getDefaultProcessor(),processorManager.getProcessor(null));	0	0	101.1541690826416
7	2	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertSame(rpcRequestProcessor1,processorManager.getProcessor(cmd1));	0	0	101.1541690826416
7	3	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertNotNull(processorManager.getDefaultProcessor());	0	0	101.1541690826416
7	4	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertTrue(processorManager.getProcessor(cmd1)instanceofRpcRequestProcessor);	0	0	101.1541690826416
7	5	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	???;	0	0	101.1541690826416
7	6	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertNotNull(processorManager.getProcessor(cmd1));	0	0	101.1541690826416
7	7	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertNotNull(processorManager.getProcessor(cmd2));	0	0	101.1541690826416
7	8	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertEquals(rpcRequestProcessor2,processorManager.getProcessor(cmd2));	0	0	101.1541690826416
7	9	/	ProcessorManagerTest	testRegisterProcessor	assertEquals(processorManager.getProcessor(cmd1),rpcRequestProcessor2);	assertEquals(rpcRequestProcessor1,processorManager.getProcessor(cmd1));	0	0	101.1541690826416
8	0	Yubico/yubico-java-client	YubicoClientTest	testBadSignature	assertEquals(ResponseStatus.BAD_SIGNATURE,response.getStatus());	assertTrue(response.getStatus()==ResponseStatus.SUCCESS);	0	0	52.70734190940857
8	1	/	YubicoClientTest	testBadSignature	assertEquals(ResponseStatus.BAD_SIGNATURE,response.getStatus());	assertArrayEquals(newbyte[]{1,1,0,0},response.getStatus().toByteArray());	0	0	52.70734190940857
