VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Incorr	BuildErr	RunErr	TestFailure
0	sharneng/gm4java	GMConnectionPoolTest	borrowObject_reusesObjectReturnedToPool	assertThat(connection2,is(connection));	assertNotNull(connection);	5.68	0	1	0	0	0
0	spring-cloud/spring-cloud-security	OAuth2FeignRequestInterceptorTests	applyAuthorizationHeader	Assert.assertTrue("STR",headers.containsKey("STR"));	assertEquals(extract(tokenType), requestTemplate.headers().get(header).iterator().next());	56.41	0	0	1	0	0
0	spring-cloud/spring-cloud-security	OAuth2TokenRelayFilterTests	emptyContextNoFilter	assertThat(RequestContext.getCurrentContext()).isNotNull();	assertTrue(isOauth2Route(RequestContext.getCurrentContext()));	6.19	0	0	1	0	0
0	tradier/dropwizard-raven	DroppingRavenLoggingFilterTest	verifyFilterDeniesSentryLoggers	assertEquals(FilterReply.DENY,filter.decide(evt));	assertEquals(FilterReply.DENY, filter.decide(evt));	27.04	0	0	1	0	0
0	tradier/dropwizard-raven	RavenAppenderFactoryTest	hasValidDefaults	assertNull("STR",factory.getDsn());	assertNull(factory.getDsn());	5.34	0	0	1	0	0
0	trautonen/coveralls-maven-plugin	HttpClientFactoryTest	testSimpleRequest	Assert.assertEquals("STR",body);	assertNotNull(client);	10.19	0	1	0	0	0
0	sharneng/gm4java	GMConnectionPoolTest	setTestOnX_noEffect_whenOff	assertThat(connection2,is(connection));	assertNotNull(connection);	7.14	0	1	0	0	0
0	spring-cloud/spring-cloud-security	OAuth2FeignRequestInterceptorTests	tryToAcquireToken	Assert.assertTrue(oAuth2AccessToken.getValue()+"STR",oAuth2AccessToken.getValue()==null);	assertNotNull(oAuth2FeignRequestInterceptor);	5.69	0	0	1	0	0
0	spring-cloud/spring-cloud-security	OAuth2TokenRelayFilterTests	securityContextTriggersFilter	assertThat(RequestContext.getCurrentContext()).isNotNull();	assertEquals(shouldFilter(), true);	6.1	0	0	1	0	0
0	tradier/dropwizard-raven	DroppingRavenLoggingFilterTest	verifyFilterAllowsNonSentryLoggers	assertEquals(FilterReply.NEUTRAL,filter.decide(evt));	assertThat(filter.decide(new LoggingEvent("com.example.mylogger", null, null, Level.INFO, "Test message.", null))).);	7.53	0	0	1	0	0
0	tradier/dropwizard-raven	RavenAppenderFactoryTest	buildRavenAppenderShouldWorkWithValidConfiguration	assertThat(appender,instanceOf(AsyncAppender.class));	assertNotNull(appender);	7.05	0	0	1	0	0
0	trautonen/coveralls-maven-plugin	HttpClientFactoryTest	testUnAuthorizedProxyRequest	Assert.assertEquals("STR",body);	assertNotNull(create());	11.07	0	1	0	0	0
0	sharneng/gm4java	GMProcessFactoryImplTest	getVersion_callsGMProcessOnlyOnce	assertThat(sut.getVersion(),is(result));	assertEquals("1.1.1", sut.getVersion().toString());	9.69	0	1	0	0	0
0	sharneng/gm4java	GMConnectionPoolTest	setTestOnBorrow_removesTestFailedConnection	assertThat(connection2,not(is(connection)));	assertTrue(sut.getNumIdle() == 1);	13.62	0	1	0	0	0
0	spring-cloud/spring-cloud-security	OAuth2FeignRequestInterceptorTests	configureAccessTokenProvider	Assert.assertEquals("STR",mockedToken,oAuth2FeignRequestInterceptor.acquireAccessToken());	assertEquals(mockedToken, oAuth2FeignRequestInterceptor.acquireAccessToken());	8.18	0	0	1	0	0
0	spring-cloud/spring-cloud-security	OAuth2TokenRelayFilterTests	tokenRelayedWithoutRestTemplate	assertThat(RequestContext.getCurrentContext()).isNotNull();	assertEquals("STR STR", ctx.get(TOKEN_TYPE) + " " + getAccessToken(ctx));	6.54	0	0	1	0	0
0	trautonen/coveralls-maven-plugin	HttpClientFactoryTest	testAuthorixedProxyRequest	Assert.assertEquals("STR",body);	assertNotNull(proxy);	10.76	0	1	0	0	0
0	trung/InMemoryJavaCompiler	InMemoryJavaCompilerTest	compile_WhenIgnoreWarnings	Assert.assertEquals(0,res.size());	assertNotNull(helloClass);	4.9	0	1	0	0	0
0	NanoHttpd/nanohttpd	WebSocketResponseHandlerTest	testWrongConnectionHeaderReturnsNullResponse	assertNull(handshakeResponse.getHeader(NanoWSD.HEADER_UPGRADE));	assertNull(handshakeResponse);	11.68	0	0	1	0	0
0	sharneng/gm4java	GMProcessFactoryImplTest	getGMPath_returnsPathPassedToConstructor	assertThat(result,equalTo(gmPath));	assertEquals(gmPath, result);	7.66	0	1	0	0	0
0	sharneng/gm4java	GMConnectionPoolTest	setTestOnReturn_removesTestFailedConnection	assertThat(connection2,not(is(connection)));	assertNotNull(connection);	5.86	0	1	0	0	0
0	spring-cloud/spring-cloud-security	OAuth2FeignRequestInterceptorTests	applyAuthorizationHeaderOnlyOnce	Assert.assertTrue("STR",headers.containsKey("STR"));	assertEquals(extract(tokenType), template.headers().get(header).iterator().next());	6.66	0	0	1	0	0
0	spring-cloud/spring-cloud-security	OAuth2TokenRelayFilterTests	tokenRelayedWithRestTemplate	assertThat(RequestContext.getCurrentContext()).isNotNull();	assertEquals("BAR", restTemplate.getAccessToken().getValue());	6.98	0	0	1	0	0
0	NanoHttpd/nanohttpd	CookieTest	testCookieWithExpiresString	assertTrue("STR",cookie.getHTTPHeader().contains(expiresString));	assertEquals(String.format("%s=%s; expires=%s", "CookieKey", "CookieValue", Cookie.getHTTPTime(randomExpirationTime)), cookie.getHTTPHeader());	14.8	0	0	1	0	0
0	NanoHttpd/nanohttpd	WebSocketResponseHandlerTest	testWrongUpgradeHeaderReturnsNullResponse	assertNull(handshakeResponse.getHeader(NanoWSD.HEADER_UPGRADE));	assertNull(handshakeResponse);	12.22	0	0	1	0	0
0	redraiment/jactiverecord	TSqlBuilderTest	testPaging	assertEquals("STR",sql.toString());	assertNotNull(sql.toString());	4.85	0	1	0	0	0
0	NanoHttpd/nanohttpd	WebSocketResponseHandlerTest	testIsMasked	Assert.assertFalse("STR",webSocketFrame.isMasked());	assertTrue(webSocketFrame.isMasked());	13.75	0	0	1	0	0
0	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java	StringUtilsTest	testIsNullNonZero	assertFalse(StringUtils.isNonZero(null));	assertTrue(isNonZero("test"));	9.02	0	1	0	0	0
0	Yubico/yubico-java-client	YubicoClientTest	testBadOTP	assertNotNull(response);	assertFalse(response.isOk());	4.98	0	1	0	0	0
0	amlinv/stat-collection-utils	DefaultJmxServiceUrlFactoryTest	testCreateJMXServiceUrl	assertNotNull(result);	assertEquals(new JMXServiceURL("service:jmx:rmi://localhost:1099/jndi/rmi://localhost:1099/jmxrmi"), factory.createJMXServiceUrl("service:jmx:rmi://localhost:1099/jndi/rmi://localhost:1099/jmxrmi"));	6.74	0	0	1	0	0
0	amlinv/stat-collection-utils	JMXJvmIdConnectionFactoryTest	testGetSetLog	assertNotNull(this.factory.getLog());	assertEquals(log, mockLogger```);	9.43	0	0	1	0	0
0	amlinv/stat-collection-utils	MBeanAnnotationUtilTest	testGetLocationONamePattern	assertEquals("STR",MBeanAnnotationUtil.getLocationONamePattern(this.testAnnotation1));	assertEquals("testValue", getLocationONamePattern(testAnnotation1));	3.57	0	0	1	0	0
0	amlinv/stat-collection-utils	JolokiaConnectionFactoryTest	testCreateConnection	assertNotNull(this.factory.createConnection());	assertTrue(factory.createConnection() instanceof JolokiaConnection);	3.85	0	0	1	0	0
0	amlinv/stat-collection-utils	JMXRemoteUrlConnectionFactoryTest	testGetSetConnectionFactoryDelegate	assertTrue(this.factory.getConnectorFactoryDelegate()instanceofDefaultJmxConnectorFactoryDelegate);	assertEquals(mockConnectorFactoryDelegate, factory.getConnectorFactoryDelegate());	3.32	0	0	1	0	0
0	amlinv/stat-collection-utils	JMXMBeanConnectionTest	testGetAttributes	assertSame(this.testAttributeList,result);	assertEquals(this.testAttributeList, this.connection.getAttributes(objectName, "x-att-x"));	3.99	0	0	1	0	0
0	amlinv/stat-collection-utils	ObjectQueryInfoTest	testImmutableQueryInfo	assertSame(target,objectQueryInfo.getTarget());	assertEquals(target, getTarget());	2.79	0	0	1	0	0
0	amlinv/stat-collection-utils	AttributeInjectorTest	testGetSetLog	assertNotNull(this.injector.getLog());	assertNotNull(target.getLog());	2.98	0	0	1	0	0
0	amlinv/stat-collection-utils	ParameterReplacerTest	testReplaceObjectNameParameters	assertEquals("STR",result);	assertEquals("x-value1-x/x-value2-x/x-value3-x", result);	5.65	0	0	1	0	0
0	amlinv/stat-collection-utils	BatchPollProcessorTest	testGetSetAttributeInjector	assertNotNull(this.processor.getAttributeInjector());	assertNotNull(processor);	3.12	0	0	1	0	0
0	amlinv/stat-collection-utils	ObjectQueryPreparerTest	testGetSetLog	assertNotNull(this.preparer.getLog());	assertEquals(mockLog, testTarget001.getLog());	3.03	0	0	1	0	0
0	amlinv/stat-collection-utils	JmxAttributePollerTest	testGetSetmBeanAccessConnectionFactory	assertNull(this.poller.getmBeanAccessConnectionFactory());	assertNotNull(poller.getmBeanAccessConnectionFactory());	4.31	0	0	1	0	0
0	cucumber-ltd/cucumber-pro-plugin-jvm	ConfigTest	gets_and_sets_value	assertEquals("STR",config.getString("STR"));	assertEquals("progress", config.getString("name"));	11.39	0	0	1	0	0
0	NanoHttpd/nanohttpd	CookieHandlerTest	testDelete	assertTrue("STR",date.compareTo(newDate())<0);	assertTrue(response.getCookieHeaders().isEmpty());	17.41	0	0	1	0	0
0	OpenLiberty/ci.common	DevUtilPrepareDockerfileTest	testDisableOpenJ9SCC_lowercase	assertEquals(expectedDockerfileLines,dockerfileLines);	assertEquals(expectedDockerfileLines, dockerfileLines);	6.8	1	0	0	0	0
0	PeterisP/morphology	TagSetTest	partly_declinable	assertEquals(AttributeNames.v_DaljeejiLokaams,av.getValue(AttributeNames.i_Lokaamiiba));	assertNotNull(locītājs);	8.23	0	1	0	0	0
0	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java	StringUtilsTest	testIsEmptyNonZero	assertFalse(StringUtils.isNonZero("STR"));	assertTrue(isNonZero("Hello"));	11.25	0	1	0	0	0
0	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java	MultiTurtlePanelTest	testAddTurtle	assertEquals(1,panel.getTurtleCount());	assertEquals(1, panel.getTurtleCount());	12.9	1	0	0	0	0
0	TeachingKidsProgramming/TeachingKidsProgramming.Source.Java	VirtualProctorTest	testSetClassName	assertEquals("STR",VirtualProctor.internals.getClassName());	assertEquals("world", VirtualProctor.internals.getClassName());	6.55	0	1	0	0	0
0	Yubico/yubico-java-client	YubicoClientTest	testReplayedOTP	assertNotNull(response);	assertTrue(response.isUseCounterValid());	3.49	0	0	1	0	0
0	amlinv/stat-collection-utils	JMXJvmIdConnectionFactoryTest	testGetSetAttacher	assertTrue(this.factory.getAttacher()instanceofDefaultVirtualMachineAttacher);	assertEquals(attacher, factory.getAttacher());	3.35	0	0	1	0	0
0	amlinv/stat-collection-utils	MBeanAnnotationUtilTest	testGetAttributes	assertEquals(2,atts.size());	assertEquals(1, atts.size());	3.19	0	0	1	0	0
0	amlinv/stat-collection-utils	JolokiaConnectionFactoryTest	testGetTargetDescription	assertEquals("STR",this.factory.getTargetDescription());	assertEquals("jolokia:url=STR", getTargetDescription());	3.38	0	0	1	0	0
0	amlinv/stat-collection-utils	JMXRemoteUrlConnectionFactoryTest	testGetSetJmxMbeanConnectionFactory	assertTrue(this.factory.getJmxMBeanConnectionFactory()instanceofDefaultJmxMBeanConnectionFactory);	assertEquals(expected, actual);	9.75	0	0	1	0	0
0	amlinv/stat-collection-utils	JMXMBeanConnectionTest	testQueryNames	assertSame(this.testQueryResult,result);	assertEquals(testQueryResult, result);	3.15	0	0	1	0	0
